stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,32,4,0,0,0,0,0,0,1,0,10,0,0,2,0,0
 24-34,0,0,0,0,4.93,1.64,4.1,0,0,1.64,0,0,1.64,0,0.82,0,0,3.28,0,0,0,156.78,20.52,8.21,0,0,0,1.64,0,0,0,29.55,0,0,11.49,0,6.57
 36-46,0,0,0,0,2.42,0,6.45,0,0,0,0,0.81,1.61,0,0,0,0,3.22,0,0,0.81,465.68,22.56,14.5,0,0,0,0,0.81,0,0,62.84,0,0,9.67,0,16.92
 48-58,0,0,0,0,4.59,0,40.74,0.57,0.57,2.3,0,0,1.15,0,1.15,0,6.89,5.74,0,0.57,0.57,644.96,14.92,6.89,0,0,0,1.15,0,0,0,54.51,0,0,7.46,0,24.1
 60-70,0,0,0,0,3.93,0,74.6,2.94,1.96,1.96,0.98,0,0,0,0,0,0,8.83,0,0.98,1.96,972.69,16.69,0.98,0,0,0,0,0,0,0,56.93,0.98,0.98,4.91,0,16.69
 72-82,0,0,0.98,0,8.83,0,72.64,0.98,0,7.85,0,0,2.94,0,0.98,0,1.96,19.63,0,0,0.98,673.42,11.78,4.91,0,0,0,0,0,0,0,30.43,0.98,0,11.78,0,12.76
 84-94,1.06,0,1.06,0,26.55,1.06,62.66,2.12,0,11.68,0,0,2.12,1.06,0,1.06,4.25,7.43,0,0,1.06,326.05,19.12,3.19,1.06,0,0,1.06,0,0,0,14.87,1.06,0,3.19,0,11.68
 96-106,0,0,1.09,0,22.95,1.09,27.32,6.56,0,7.65,1.09,0,2.19,0,0,0,2.19,15.3,0,1.09,1.09,222.94,14.21,3.28,1.09,0,1.09,0,0,0,0,2.19,1.09,0,6.56,0,15.3
108-118,0,0,0,0,72.77,0,22.21,28.34,0,3.83,0,0,0.77,0.77,2.3,0,4.6,6.89,1.53,0,0,244.34,19.92,4.6,0,0,0.77,0,0,0,0,0.77,0.77,0.77,6.89,0,8.43
120,0,0,0,0,76.43,0,21.56,15.68,0,3.92,0,0,0,1.96,0,0,0,7.84,0,0,0,256.73,21.56,0,0,0,0,0,0,0,0,5.88,0,0,5.88,1.96,9.8
