stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0
 24-34,0.82,1.64,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,16.42,0.82,0,0,0,2.46,4.1,0,0,0
 36-46,0,0,0,1.61,1.61,0,0,0,0.81,0,0,0,0,0,23.36,1.61,0,0,0,2.42,4.03,0,0,0
 48-58,0,0,0,6.31,0.57,0,0,0,0.57,0,0.57,0.57,0,0.57,22.38,0,0,0,0,0,6.31,0,0,0
 60-70,0,0.98,0,3.93,0,0,0,0,0.98,0,0,2.94,0,0,24.54,0,0,0,0.98,0,4.91,0.98,0.98,0
 72-82,0,1.96,0,6.87,2.94,0,0,0,2.94,0,0,4.91,0,0,23.56,2.94,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,1.06,4.25,3.19,1.06,0,0,5.31,0,0,4.25,2.12,0,10.62,2.12,0,0,0,1.06,2.12,0,1.06,0
 96-106,0,0,1.09,1.09,5.46,1.09,0,3.28,2.19,0,0,4.37,0,0,9.84,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0.77,0,2.3,3.06,0.77,0,0.77,4.6,3.06,0,1.53,0,0,6.13,0,0,0.77,0,0.77,0.77,0,0,0.77
120,0,1.96,0,0,5.88,0,0,1.96,3.92,0,0,0,0,0,15.68,0,0,0,0,1.96,0,0,0,0
