stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,47.32,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,10,2,0,6,0,0,0,6,1,0,0,0,1,0,0,13,0,5,115,5,0,2,4,0,4,1,4,0,5,41,0,0
 24-34,0,0.82,0,8.21,1.64,0,36.94,0,0,0,5.75,0,0,0.82,0.82,0,0,0,21.34,0,5.75,195.36,0.82,0,0.82,0,0,3.28,0,0,0,1.64,45.15,2.46,0
 36-46,0,0,0,4.03,0,0,34.64,0,0,0,2.42,0,0,1.61,0.81,0,0,0,20.14,0,3.22,102.32,0,1.61,0,0,0,0.81,0,0,1.61,0,19.34,2.42,0
 48-58,0,0,0,1.15,0,0,26.97,0,0,0,3.44,0.57,0,0.57,0,0,0,0,18.36,0,1.72,53.94,0,0,0.57,0,0,1.15,0,0,0,0,5.16,0.57,0
 60-70,0,0,0,2.94,0,0,21.59,0,0.98,0.98,6.87,0,0,0,0,0,0,0.98,26.5,0.98,1.96,101.1,0.98,0,0.98,0,0.98,0.98,0,0,0,0,11.78,0,0
 72-82,0,0,0,3.93,0,0.98,13.74,0,0,1.96,14.72,0.98,0,0,0.98,0,0,0,21.6,0,2.94,49.08,0,0,1.96,0,0.98,1.96,0,0,0,0,2.94,0,0
 84-94,0,0,0,2.12,0,0,9.56,0,1.06,1.06,6.37,0,0,0,0,0,0,0,10.62,0,1.06,27.61,0,0,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,3.28,0,0,14.21,0,0,1.09,4.37,0,0,1.09,0,0,0,0,12.02,0,2.19,26.23,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,6.13,0.77,1.53,5.36,0.77,0,0,3.06,0.77,0,0,0,0.77,0.77,0,14.55,0,0,26.04,0,0,0.77,0,0,1.53,0,0,0,0,0.77,0.77,0.77
120,0,0,0,5.88,3.92,0,7.84,0,0,0,15.68,0,0,0,0,0,0,0,11.76,1.96,3.92,50.95,0,0,0,0,0,0,0,0,0,0,3.92,0,0
