stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,10.67,0,0.82,1.64,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,23.36,0,2.42,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,42.46,0,0.57,0,1.15,1.15,0,0,0.57,0,0
 60-70,0.98,0,0,0,0.98,0,0,57.91,0,1.96,0,0.98,0,0,0,0,0.98,0
 72-82,0,3.93,0,0,0.98,0,0,89.33,0,2.94,0,0.98,0,0.98,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,127.44,0,2.12,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,131.14,1.09,4.37,0,5.46,0,0,0,0,0,0
108-118,0,1.53,0,0,0.77,1.53,0,115.66,0,2.3,0.77,2.3,0,0,1.53,0,0,0.77
120,1.96,1.96,1.96,1.96,3.92,0,0,192.06,0,5.88,0,0,0,0,0,0,0,0
