stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24,6,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,11,0,0,0,1,1,0,1,12,1,2,2,0
 24-34,0,0,0,28.73,0,0,0,0,0,0,0,10.67,0,0,0,0,4.93,0,0.82,0,0,4.1,0,0,0,0,3.28,0,0,50.07,0,4.1,0,0
 36-46,0,0,0,1.61,0.81,0,0,1.61,0,0,0,19.34,0,0,0,0.81,4.03,0,0,0,0,4.03,0,0,0.81,0,0.81,0.81,0,45.12,0,12.89,0.81,0
 48-58,0,0,0,0,0.57,0,0,2.87,0,0.57,1.15,20.08,0,0,0,0,1.15,0,1.72,0,0,1.72,0,0.57,0,0,0,0,0,18.94,0,3.44,0,0
 60-70,0,0,2.94,0,1.96,0,0,3.93,0,0,0,51.04,0,0,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0.98,0,0,33.37,0,0.98,0,0
 72-82,0,0,12.76,0.98,0.98,0.98,0,3.93,0,0,0.98,149.21,0,0,0,0,2.94,0.98,0.98,0,0,14.72,0,2.94,0.98,0,3.93,0,0,59.88,0,6.87,0,0
 84-94,0,0,8.5,6.37,2.12,0,0,2.12,0,0,1.06,298.43,0,0,1.06,0,1.06,0,6.37,0,0,10.62,1.06,6.37,0,0,4.25,0,0,148.69,0,2.12,0,0
 96-106,0,0,6.56,5.46,4.37,2.19,1.09,8.74,0,0,2.19,418.56,0,0,1.09,1.09,2.19,0,6.56,1.09,0,44.81,0,0,0,0,2.19,0,0,135.51,0,1.09,1.09,0
108-118,0,0,8.43,12.26,3.83,0,1.53,3.83,0.77,0,0.77,516.26,0,0.77,0,0,2.3,0.77,6.13,0,0.77,39.06,0,2.3,0,0,0,0,0,150.89,0,0.77,0.77,0.77
120,0,0,1.96,3.92,1.96,0,1.96,1.96,1.96,1.96,0,325.32,0,0,1.96,0,5.88,0,1.96,0,1.96,48.99,0,1.96,0,0,1.96,0,0,99.95,0,0,1.96,0
