stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,23.8,0,0,0,0,0.82,0.82,3.28,0.82,0,0,3.28,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,16.11,0,0.81,0,0.81,0.81,0,2.42,0,0,0,1.61,0,0,0,0
 48-58,1.15,0,0,0,0,0.57,0,0,9.75,0,0,0,1.15,1.72,0,6.31,0.57,0,0,0.57,1.15,0,0,0
 60-70,4.91,0,1.96,0,0,0,0,0,12.76,0,0,0,0,0,0,4.91,0,0,0,2.94,1.96,0,0,0
 72-82,3.93,0,3.93,0,1.96,0,0,0,23.56,0,0,0,0.98,0.98,0,2.94,0,0,0,1.96,0.98,0.98,1.96,0.98
 84-94,5.31,0,0,0,0,0,0,0,41.42,0,0,1.06,1.06,3.19,0,8.5,0,0,0,8.5,0,0,2.12,0
 96-106,21.86,1.09,2.19,0,0,0,1.09,0,48.09,2.19,0,0,2.19,1.09,0,3.28,0,0,0,2.19,0,0,2.19,0
108-118,14.55,0,0.77,0.77,0,0,0,0.77,68.94,0,0,0,1.53,4.6,0,1.53,0,0,0,2.3,0,0,2.3,0
120,21.56,0,0,3.92,0,0,0,0,35.28,0,0,0,0,0,0,3.92,0,1.96,1.96,3.92,0,0,5.88,0
