stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,6,2,1,0,0,0,0,0,0,3,0,0,4,23,0,0,1,0,0,0,2,1,4,4,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0,0,2.46,0.82,0,1.64,8.21,0,0,0.82,0,0,0.82,0,0,0,4.1,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,0,0.81,2.42,8.06,0.81,0.81,0.81,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,8.61,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,5.89,0,0,2.94,0,0,0,8.83,0,0,0,22.58,0,0,0,0,0.98,0.98,0,0,0,2.94,0,0,0,0.98
 84-94,0,1.06,3.19,2.12,4.25,0,0,1.06,1.06,0,0,3.19,0,0,0,12.74,0,0,1.06,0,0,1.06,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,6.56,0,0,3.28,0,0,1.09,5.46,0,1.09,0,7.65,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,3.83,2.3,0,0,3.06,3.06,0,0.77,0,7.66,0,0,0.77,15.32,0,0,0.77,0,0,2.3,0,0,0,1.53,0.77,0.77,0.77,0
120,0,0,0,3.92,1.96,1.96,0,0,0,1.96,1.96,7.84,0,0,0,23.52,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
