stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,2.63,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0.82,0,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,17.21,0,0,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0.98,0,51.04,0,0,0,0,0,0,0,0,0,0.98,0.98,0,1.96,0.98,0,0,0,0,0,0
 72-82,0,0,0,67.73,0,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,45.67,1.06,0,0,0,1.06,3.19,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,49.18,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,39.83,1.53,0,0,0,0,3.83,0,0,0,0,0,0,3.83,0.77,0,0,0,0,0.77,0
120,0,0,0,45.08,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0
