stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,131,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,89,0,0
 24-34,0.82,0.82,19.7,0,1.64,0,0,0,0,0,0,20.52,0,0,0,0,1.64,0,2.46,0,0,0,10.67,0,0,0,0,0,0.82,0.82,1.64,0,0,390.73,0,0
 36-46,0,0.81,3.22,0,1.61,0.81,0,0,0,0,0,12.89,0,0,0,0,0,0.81,5.64,0,0,0.81,12.09,0,0,0,0,0,0,0,0.81,0,0,268.29,0,0
 48-58,0,0,1.72,0,4.02,0,0,0.57,0,0,0,26.4,0,0,0,0,0,0,5.16,0,1.15,1.15,12.05,0,0.57,0,0.57,0,0,0,1.15,0,0,232.39,0,0
 60-70,0,0,1.96,0,2.94,0,0,0,0,0,0,23.56,0.98,0.98,0,0,0,0,7.85,0,0,3.93,9.82,0,0,0,0,0,0,0,0,0,0,198.27,0,0.98
 72-82,0,2.94,2.94,0,6.87,0,0,1.96,0,0.98,0,38.28,0,0,0,0,0,0,22.58,0,2.94,4.91,20.61,0,0.98,2.94,0,0,0,0,3.93,0,6.87,367.14,0.98,0.98
 84-94,0,4.25,0,0,4.25,0,1.06,1.06,0,3.19,0,25.49,0,0,0,0,0,0,15.93,0,0,1.06,5.31,0,0,0,0,0,0,0,0,0,5.31,365.34,0,0
 96-106,0,17.49,7.65,0,10.93,0,0,1.09,1.09,0,0,51.36,1.09,1.09,1.09,0,0,0,24.04,0,2.19,1.09,10.93,1.09,1.09,0,1.09,0,2.19,0,0,1.09,4.37,426.21,1.09,0
108-118,0,10.72,3.83,0.77,6.89,0,0.77,0,1.53,0,0,17.62,0,0.77,0,0,0.77,0,21.45,0.77,1.53,3.83,9.96,0,0,0,0,0,2.3,0,0,0.77,6.89,337.79,1.53,0
120,0,19.6,5.88,0,1.96,0,0,0,1.96,1.96,1.96,29.4,0,0,0,1.96,0,0,13.72,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,335.12,0,1.96
