stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,18.88,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,2,3,2,84,374,182,0,145,0,0,2,25,3,7,0,0,0,0,0,0,153,0,98,470,28,0,11,1,0,0,42,7,39,65,273,0,74,0,3
 24-34,0,0,0,22.98,33.66,9.03,0,19.7,0,0,0.82,9.03,0,4.1,0,0.82,0,1.64,2.46,1.64,34.48,0,6.57,103.43,0,0,0,0,0,1.64,0,0,0.82,1.64,73.88,0,183.87,0,0
 36-46,0,0,0,4.83,9.67,0.81,0,4.83,0,0,2.42,5.64,0,5.64,0,0,1.61,0,0.81,0,16.92,0,4.83,95.87,2.42,0,0.81,0,0,2.42,0,1.61,0,0,79.76,0,118.43,0,0
 48-58,0,0,0,0.57,1.72,2.3,0,6.89,0,0,2.3,0.57,0,3.44,0,0,0.57,0,0,0.57,5.16,0,0.57,70,0.57,0,0.57,0,0,0.57,0,1.15,0,0,44.18,0,77.46,0,0
 60-70,0,0,0,0,0,0.98,0,14.72,0,0,9.82,0,0,0.98,0,0,0,0,0,0.98,2.94,0,0,95.21,0,0,0,0,0.98,0.98,0,0,0,0,45.15,0,59.87,0,0
 72-82,0,0,0,0,0.98,0,0,13.74,0,1.96,20.61,3.93,0,0,0,0,0,0,1.96,0,7.85,0,0.98,161.97,0,0,0,0,0.98,0,0,0,0,0,47.12,0,107,0,0
 84-94,0,0,0,0,2.12,0,0,10.62,0,0,11.68,4.25,0,2.12,0,0,0,0,0,0,4.25,1.06,0,62.66,0,0,0,0,0,0,0,0,0,0,16.99,2.12,79.65,0,0
 96-106,0,0,0,0,2.19,0,1.09,16.39,1.09,0,18.58,3.28,0,1.09,0,0,0,0,0,0,2.19,0,0,76.5,0,0,0,0,1.09,2.19,0,2.19,0,0,15.3,0,108.19,2.19,0
108-118,0.77,0,0.77,0.77,1.53,1.53,0,19.15,0,1.53,24.51,5.36,0,0,0.77,0,0,0,0.77,0,1.53,0,0,95.75,0,0.77,0,0,0.77,2.3,0,0.77,0,0,14.55,0,65.87,0.77,0.77
120,0,0,0,0,1.96,0,0,5.88,0,0,13.72,13.72,0,0,0,0,0,0,0,0,1.96,0,0,86.23,0,0,0,0,0,3.92,0,0,0,0,9.8,0,70.55,0,0
