stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,23.8,0,0,2.46,1.64,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,14.78,0,0,0.82,0,0,0.82,3.28,0,0,0,0,0
 36-46,0,0,0,0,8.06,0,0,4.03,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,19.34,0,0,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,0,0,5.16,0,0,6.89,3.44,0,0,0,0,0.57,0,0,0,0,0,0,2.3,0,0,0,16.07,0,0,0,0,0,0,6.89,0,0,0.57,0,0.57
 60-70,0,0,0,0,11.78,0,0,17.67,7.85,0,2.94,0.98,0,0,0,0,0.98,0,0,0,2.94,0,0,0,35.33,0,0,0.98,0,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,22.58,0.98,0.98,22.58,3.93,0,2.94,0,0,0,0,0,5.89,0,0,0.98,5.89,0,0,0,38.28,0,1.96,0,0,0,0,5.89,5.89,0,0.98,0,0
 84-94,0,0,0,1.06,38.23,0,0,41.42,13.81,0,4.25,2.12,0,1.06,0,1.06,3.19,1.06,1.06,0,2.12,0,0,0,29.74,0,0,1.06,0,1.06,1.06,1.06,25.49,0,1.06,0,0
 96-106,0,0,0,0,50.27,2.19,0,52.46,12.02,0,3.28,5.46,0,0,1.09,0,2.19,0,1.09,2.19,9.84,0,0,0,33.88,0,0,7.65,0,5.46,1.09,1.09,32.79,0,1.09,0,0
108-118,0,0,0,0,67.4,0,0,59.75,18.38,0,8.43,3.06,0,0,1.53,0.77,1.53,0,1.53,1.53,9.19,0,0,0,37.53,0.77,0.77,1.53,0,6.13,1.53,0.77,38.3,0,1.53,0,0
120,0,0,0,0,58.79,0,0,21.56,21.56,1.96,3.92,5.88,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,45.08,0,1.96,3.92,0,0,0,0,11.76,0,0,1.96,0
