stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,14,1,0,1,2,0,0,0,0,0,0
 24-34,0,0,1.64,11.49,0,0,0.82,0,0,0,0,2.46,0,0,0,2.46,0,0,4.1,0,0,1.64,0,0.82,22.98,0,2.46,0,215.06,0,0.82,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0,7.25,0,0,2.42,0,1.61,0,0.81,8.06,0,0,0.81,0.81,0,0.81,5.64,0,1.61,3.22,0,0,12.89,0.81,0,0,241.7,0,2.42,0,0,1.61,0,0,0.81,0,0.81
 48-58,0,0,0.57,5.16,0,0,5.74,0,1.72,0,2.87,30.99,0,0,0,1.72,0,2.3,17.21,0.57,1.15,1.72,0,0.57,24.1,0.57,1.15,0,261.08,0,0.57,0,0,2.87,0,0,0,0,0.57
 60-70,0,0,0,21.59,0,0,10.8,0,1.96,0,0.98,59.87,0,0.98,0,0.98,0,1.96,27.48,0.98,5.89,0.98,0,0,13.74,0.98,0.98,0,144.28,0,2.94,0,0,4.91,0,0,6.87,0,0
 72-82,0,6.87,0.98,44.17,3.93,0.98,44.17,0,0,0,8.83,227.75,0.98,0,6.87,4.91,0.98,1.96,127.62,0,26.5,1.96,1.96,0.98,109.95,4.91,4.91,0,107,0,11.78,0.98,0,2.94,3.93,0.98,31.41,0,1.96
 84-94,0,2.12,3.19,87.09,4.25,0,52.04,1.06,1.06,1.06,4.25,465.17,0,1.06,2.12,9.56,0,7.43,458.8,0,18.05,1.06,1.06,4.25,69.03,6.37,2.12,1.06,281.44,0,36.11,0,0,1.06,13.81,0,20.18,0,2.12
 96-106,0,8.74,10.93,116.93,7.65,3.28,102.73,2.19,2.19,2.19,18.58,650.24,0,3.28,4.37,14.21,1.09,8.74,707.07,1.09,50.27,3.28,2.19,5.46,276.49,29.51,8.74,2.19,273.21,0,55.74,1.09,0,2.19,16.39,1.09,46.99,6.56,2.19
108-118,0,2.3,9.96,143.24,5.36,2.3,127.15,0.77,9.19,1.53,17.62,699.32,0,2.3,6.89,16.85,3.06,9.19,1374.14,1.53,36,3.83,0.77,6.89,220.6,12.26,4.6,1.53,175.41,0,81.19,0,0,2.3,13.02,0,32.94,2.3,2.3
120,0,1.96,3.92,68.59,9.8,0,41.16,0,0,0,11.76,401.76,0,0,3.92,1.96,0,7.84,619.29,0,19.6,1.96,0,5.88,156.78,7.84,1.96,3.92,135.23,0,41.16,1.96,0,0,5.88,0,23.52,0,0
