stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,103.85,6.29,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,37,4,0,9,0,0,0,1,1,1,0,0,0,0,0,2,0,13,0,0,11,71,82,0,0,3,0,14,12,0,2,18,31,0,0,1,0,0
 24-34,0,0,1.64,16.42,0.82,0,23.8,0.82,2.46,0.82,3.28,0,0,1.64,0.82,0.82,0,0,0,0,64.03,0,0,37.76,125.59,20.52,1.64,2.46,0,0,13.95,0,0,2.46,4.93,37.76,0,0,3.28,0,0
 36-46,0,0,0,11.28,0,0,18.53,1.61,0.81,2.42,9.67,0,0,4.03,0.81,0,0,0,0,0.81,81.37,0,1.61,22.56,73.32,6.45,1.61,0.81,0,0.81,6.45,0,0.81,3.22,0,22.56,0,0,4.83,0,0.81
 48-58,0,0,0,5.16,0.57,0,23.53,5.16,1.15,1.72,21.8,0,0,2.3,0,0,1.15,0.57,0,0.57,110.17,0,0,11.48,50.49,6.89,0,2.3,0,1.15,1.72,0,0,4.02,0,14.92,0,1.15,1.72,0,0
 60-70,0,0,0,6.87,0,0,33.37,3.93,5.89,6.87,41.22,0,0,0,0,0,0.98,0.98,0,0,142.32,0,3.93,17.67,68.71,5.89,0,3.93,0,0,1.96,0,0,1.96,0,17.67,0,2.94,1.96,0,1.96
 72-82,0,0,0,21.6,1.96,0,28.47,2.94,2.94,8.83,54.97,0,0,1.96,5.89,0,0,0,0,0,144.3,0,7.85,18.65,47.12,4.91,0.98,2.94,0,0,0.98,0,0,1.96,0,12.76,0.98,1.96,10.8,5.89,0
 84-94,0,0,0,18.05,2.12,0,39.3,3.19,8.5,5.31,44.61,0,0,0,6.37,0,1.06,0,1.06,1.06,78.59,0,8.5,10.62,36.11,9.56,0,1.06,0,0,6.37,0,0,1.06,0,8.5,1.06,2.12,5.31,5.31,2.12
 96-106,0,0,0,14.21,1.09,2.19,48.09,7.65,6.56,3.28,36.06,1.09,0,0,5.46,0,0,1.09,1.09,0,75.41,0,6.56,5.46,43.71,2.19,2.19,5.46,0,2.19,4.37,0,0,7.65,0,8.74,1.09,3.28,4.37,10.93,1.09
108-118,0,0,0,19.92,0.77,0,39.06,4.6,6.89,1.53,28.34,0,0,0.77,3.06,0,4.6,0.77,0.77,0.77,60.51,0.77,2.3,10.72,37.53,5.36,0.77,3.83,0,0,2.3,0,0,6.13,0,6.13,0,4.6,3.06,2.3,0
120,0,0,0,21.56,0,0,23.52,7.84,9.8,3.92,37.24,0,0,0,5.88,0,1.96,0,0,0,54.87,0,9.8,3.92,74.47,3.92,0,3.92,1.96,0,1.96,0,0,5.88,0,9.8,0,3.92,5.88,3.92,0
