stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,10.67,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,3.28,0,4.93,0,0
 36-46,0,12.89,0,2.42,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,1.61,0,6.45,0,1.61
 48-58,0,12.05,0,1.72,0.57,0,0,0,0.57,0,0.57,0,1.15,0,0.57,0,0,0,21.23,0,0.57,0,0,0,0.57,4.59,0,3.44,0,0.57
 60-70,0,10.8,0,11.78,0,0.98,7.85,1.96,1.96,0.98,0,0.98,6.87,0,2.94,0,0,0,81.47,0.98,0.98,0,0,0.98,0,4.91,0,8.83,0.98,0.98
 72-82,0,13.74,0,33.38,0,0,28.47,5.89,0,0.98,0,0,11.78,0,3.93,0,0.98,1.96,160.01,0,0,0,0,0,0,12.76,0,15.71,2.94,0.98
 84-94,0,31.86,0,15.93,2.12,0,24.43,7.43,2.12,0,0,0,19.12,0,1.06,0,0,0,88.15,0,1.06,0,0,0,0,8.5,0,8.5,4.25,0
 96-106,0,27.32,1.09,17.49,1.09,0,48.09,6.56,0,0,0,0,36.06,1.09,3.28,1.09,0,1.09,69.94,0,1.09,0,0,0,0,14.21,1.09,3.28,1.09,0
108-118,0,19.92,0,7.66,1.53,0,43.66,2.3,2.3,0,0,0,16.85,0.77,5.36,0,0,1.53,90.38,0,0.77,0,0,1.53,0,9.19,0,13.02,2.3,0
120,0,7.84,0,3.92,0,0,29.4,3.92,3.92,0,0,0,21.56,0,3.92,0,0,0,66.63,0,0,0,1.96,0,0,9.8,0,1.96,0,0
