stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,34.17,0,0,0,0,15.77,0,0,0,0,0,0,0,0,84.12,2.63,7.89,0,23.66,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,9.44,0,0,0,0,0,0,0,0,119.58,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,18.88,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,4.03,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,6.31,0,0,0.57,2.3,0,0,0,1.15,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0
 60-70,0.98,0,0,8.83,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,5.89,0,0,0,0,0,3.93,0,0,0,0,0,0.98,0,3.93,0,6.87,0,0,0.98,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,25.49,0,0,0,2.12,1.06,4.25,0,0,1.06,0,0,1.06,0,2.12,0,4.25,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,26.23,1.09,2.19,1.09,3.28,0,4.37,0,0,0,0,0,0,0,0,0,8.74,0,0,0,1.09,0,0,0,1.09,0,2.19
108-118,0,0,0,31.4,0,2.3,0,7.66,0,8.43,0,0,1.53,0,0.77,3.06,0,0,0,6.89,0,0,0,0,0.77,0,2.3,0.77,1.53,0
120,0,0,0,35.28,0,0,0,1.96,0,7.84,0,0,3.92,0,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96
