stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5,0,0,0,0,0
 24-34,0,4.1,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,2.46,7.39,0,0,0,0,3.28,6.57,0,0,4.1,0,0
 36-46,0,2.42,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,23.36,0,3.22,19.34,0,0,0,0.81,5.64,7.25,0,0,4.83,0,0
 48-58,0,1.15,0,0,0,6.31,0,0.57,0,0,0,0.57,0,0,0,24.1,4.59,2.87,19.51,0,0,0,1.15,3.44,9.75,0,0,4.59,0,0
 60-70,0,1.96,0,0,0,19.63,0,0,0.98,1.96,0.98,0,0,0.98,0,17.67,7.85,0.98,55.95,0,0,0,0,2.94,6.87,0,3.93,1.96,0,0
 72-82,0,0,3.93,0,0.98,49.08,0,0,0,1.96,0.98,0,0,0,0,24.54,10.8,0.98,64.79,0.98,0,0,1.96,7.85,1.96,0,4.91,9.82,5.89,0
 84-94,0,1.06,4.25,0,2.12,61.6,2.12,0,1.06,4.25,0,1.06,0,0,1.06,13.81,11.68,1.06,36.11,0,0,0,2.12,7.43,0,2.12,6.37,10.62,5.31,0
 96-106,0,1.09,10.93,0,12.02,54.64,0,0,2.19,3.28,1.09,2.19,1.09,0,0,17.49,22.95,3.28,56.83,1.09,0,8.74,0,16.39,0,0,13.11,10.93,15.3,0
108-118,0,2.3,6.89,0.77,57.45,60.51,0,0.77,1.53,4.6,1.53,0.77,3.83,0,0.77,22.21,13.02,0.77,62.04,0,0,2.3,0.77,14.55,0.77,6.13,22.21,9.19,11.49,0.77
120,0,1.96,7.84,0,11.76,43.12,0,0,0,1.96,1.96,1.96,1.96,1.96,0,9.8,15.68,1.96,68.59,0,0,1.96,0,13.72,1.96,1.96,9.8,7.84,13.72,0
