stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,7,6,4,0,0,1,3,0,0,0,0,1,3,0,0,1,52,0,0,0,0,0,28,0,0,2,0,0
 24-34,1.64,0.82,0.82,3.28,0,0.82,0,0.82,0,0,0,0,0,5.75,0,0,0,121.49,1.64,0,0.82,0.82,0.82,45.15,0,0,4.1,0,0
 36-46,0,0,0,6.45,0,0,3.22,0.81,0,0,0,0,0,12.09,0,0,2.42,299.71,0,0.81,0.81,0,0,105.54,0,0,0,0,0
 48-58,0,1.72,0,21.23,0,0.57,9.75,0,0,1.15,0.57,0,0,5.74,0,0.57,2.3,292.07,0.57,0,0,0,0,86.07,0,0,1.72,0,0.57
 60-70,0,0.98,0,53.98,0.98,0.98,12.76,0,0,0,0,0,0,12.76,0.98,0,0.98,346.48,0,0,0,0,0,100.12,0,0,0.98,0,0
 72-82,0,0.98,0,62.83,0,0.98,10.8,0,0.98,0.98,0,0,0.98,11.78,0,0,0.98,237.56,0,0.98,0,0,0,36.32,0.98,0.98,0,0,0
 84-94,0,2.12,0,24.43,0,0,6.37,0,0,1.06,1.06,1.06,0,13.81,0,1.06,1.06,111.51,0,0,0,0,0,28.68,0,0,3.19,1.06,0
 96-106,0,2.19,0,19.67,0,0,4.37,0,0,2.19,0,0,0,7.65,0,0,0,116.93,0,0,0,0,0,9.84,0,0,1.09,0,1.09
108-118,0,0,0.77,26.04,0.77,0.77,7.66,0.77,0,2.3,0,0,0,5.36,0,0.77,0.77,111.06,0,1.53,1.53,0,0,6.89,0,0,2.3,0,0
120,0,0,1.96,13.72,0,1.96,5.88,0,0,3.92,0,0,0,3.92,0,0,1.96,94.07,0,0,0,0,0,1.96,0,0,1.96,0,0
