stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,0,0,0,0,9,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,2.46,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0.82,2.46,0,0,0.82,34.48,0.82,2.46,0,0,0,5.75,0,0,14.78,0,6.57,0,2.46
 36-46,0,0,0,1.61,0,0,2.42,0.81,0.81,0,1.61,0,0,0,0,0.81,0,0,0,7.25,2.42,0,0,0.81,103.13,1.61,0.81,0.81,0,0,0.81,0,0,28.2,0,3.22,0,5.64
 48-58,0,0,0,0.57,0,0,8.03,0.57,0,0.57,7.46,0.57,0,0,0.57,0,1.72,0,0,6.31,7.46,0,0,0.57,136.57,1.15,1.72,0.57,0,0,1.15,0,0,22.95,0,4.02,0,9.75
 60-70,0,0,0,0.98,0,0,30.43,0,0,0,16.69,0,0,0,0.98,0,1.96,0,0.98,1.96,21.59,0,0.98,0,225.75,0,4.91,0,0,0,2.94,0,0,29.45,0,4.91,0,4.91
 72-82,0,1.96,0,1.96,0,0,69.7,0,0,1.96,32.39,0.98,0,0,0.98,0.98,6.87,1.96,0,3.93,39.27,0.98,0.98,0.98,223.82,0.98,1.96,2.94,0,0,2.94,0.98,0,18.65,0.98,3.93,0,3.93
 84-94,0,1.06,1.06,5.31,0,0,55.23,0,0,1.06,23.36,0,0,0,3.19,1.06,9.56,3.19,0,10.62,23.36,0,1.06,0,113.64,0,0,2.12,0,0,8.5,0,0,8.5,1.06,4.25,0,4.25
 96-106,0,1.09,0,7.65,1.09,2.19,39.34,0,2.19,1.09,24.04,1.09,0,0,3.28,1.09,5.46,3.28,4.37,1.09,26.23,0,1.09,0,126.77,0,5.46,3.28,0,0,9.84,0,0,6.56,0,4.37,4.37,4.37
108-118,0,0.77,0,6.13,0,2.3,30.64,0,0,2.3,20.68,0.77,0,0.77,1.53,0,6.13,0.77,0.77,2.3,22.21,0,0,3.83,127.92,0,4.6,3.06,0,0.77,3.83,0,0.77,3.83,0,2.3,0.77,8.43
120,0,0,0,7.84,1.96,0,39.2,0,0,0,17.64,3.92,0,0,11.76,0,1.96,0,0,5.88,15.68,0,0,1.96,129.35,1.96,3.92,0,0,0,1.96,0,0,11.76,0,7.84,0,1.96
