stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,13.7,0.81,0,0.81,0.81,0,0
 48-58,0,0.57,1.72,0.57,1.15,0,0,0,0,0.57,20.66,0,0,1.15,2.87,0,0.57
 60-70,0,0.98,8.83,0,0,0,0,0,2.94,2.94,33.37,0,0,1.96,7.85,0,0
 72-82,1.96,1.96,10.8,0,0,0,0,0.98,2.94,2.94,24.54,0.98,1.96,4.91,5.89,0,0.98
 84-94,0,1.06,4.25,0,2.12,0,0,0,0,1.06,10.62,0,2.12,6.37,0,0,0
 96-106,0,2.19,5.46,0,0,1.09,1.09,0,0,1.09,10.93,2.19,1.09,8.74,1.09,1.09,1.09
108-118,0,0.77,2.3,0.77,0.77,0,0,0,0.77,0.77,10.72,0,0,6.13,0,1.53,0
120,1.96,0,0,0,0,0,0,0,0,1.96,3.92,0,0,3.92,0,1.96,0
