stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,89.38,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,226.58,0,0,9.44,0,25.18,0,0,0,0
 14-21,1,0,1,10,0,0,1,0,0,0,0,1,1,15,0,0,2,0,39,0,0,27,31,0,0,0,1,1,184,0,452,2097,2,0,1,1
 24-34,0,0,0.82,6.57,0,0,13.13,217.53,0,0,1.64,0,0,8.21,0,0.82,0,0,24.63,0,0.82,47.61,132.16,0.82,0.82,2.46,0,9.85,3.28,0.82,165.81,664.07,19.7,0,8.21,23.8
 36-46,0,0,0,3.22,0,0,9.67,266.68,0.81,0,3.22,0,0,5.64,0,0,0,0,8.86,0,0,31.42,46.73,0.81,0,0,0.81,3.22,0,1.61,78.96,35.45,11.28,0,0.81,5.64
 48-58,0,0,0,0.57,0,0,12.05,195.67,0.57,1.15,3.44,0,0,2.3,0,0,0,1.72,9.75,0.57,0,61.4,35.58,0.57,0,0.57,0,0.57,0,0,52.79,0.57,14.92,1.15,1.15,4.02
 60-70,0,0,0,0.98,1.96,0,5.89,116.8,0,0.98,0.98,0,0,0.98,0,0,0,0,1.96,0,0,39.26,22.58,0.98,0,0,0.98,2.94,0,0,35.33,0,2.94,0,0,3.93
 72-82,0,0,0,1.96,0.98,0,13.74,87.37,0,0,4.91,0.98,0,1.96,0,0,0,0,7.85,0,0,53.99,14.72,0,0,0,0.98,0,0,0,20.61,0,0.98,2.94,0.98,4.91
 84-94,0,0,0,2.12,3.19,0,8.5,63.72,0,0,2.12,1.06,0,1.06,2.12,0,0,2.12,10.62,0,0,41.42,5.31,0,1.06,0,0,2.12,0,0,20.18,0,1.06,1.06,2.12,2.12
 96-106,0,0,0,1.09,1.09,0,12.02,54.64,1.09,0,3.28,0,0,2.19,0,1.09,0,0,9.84,0,0,34.97,12.02,0,0,0,0,4.37,0,0,9.84,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0.77,1.53,6.13,38.3,0,0,0,0,0,4.6,0.77,0,0,0,0.77,0,0,51.32,8.43,0.77,0,0,0,1.53,0,0,16.09,0,0,0,1.53,2.3
120,0,0,0,0,0,0,1.96,72.51,0,0,0,0,0,0,0,0,0,0,11.76,0,0,64.67,3.92,0,0,0,0,0,0,0,11.76,0,0,1.96,0,0
