stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,8,5,0,0,0,0,2,0,2,0,0,0,0,0,0,6,0,0,7,31,6,1,0,0,2,2,2,3,16,0,4,0,0
 24-34,0,0,3.28,0,4.1,0,0,0,0,0.82,0.82,0,0.82,0,0,0.82,0,8.21,0,0,3.28,36.94,0,2.46,0,0,1.64,0.82,0,0,8.21,0,2.46,0,0
 36-46,0,0,3.22,0.81,15.31,0.81,0,0,8.06,0,0,0,0,0,0,0,0,12.09,0,1.61,3.22,107.96,0,2.42,0,0,2.42,0.81,0,0,19.34,0,1.61,0,0
 48-58,0,0,1.72,0,21.8,0,0.57,0,9.18,0,1.15,0,0,0,0.57,0,0.57,18.36,0,1.72,4.02,98.69,0.57,1.15,0,0,1.15,0.57,0,0,24.67,0,2.3,0,0
 60-70,0,0,1.96,0,55.95,0,0.98,0.98,9.82,0,0,0,0,0,0.98,0,0.98,22.58,0,0,1.96,77.54,0,0,0,0,1.96,0,0,0,15.7,0.98,2.94,0.98,0
 72-82,0.98,0,0,0.98,54.97,0.98,0,0,18.65,0.98,0.98,0,0,0,0.98,0,0,20.61,0,1.96,0.98,87.37,0,0,0.98,1.96,1.96,0.98,0.98,0,5.89,0.98,3.93,0,1.96
 84-94,0,0,3.19,1.06,27.61,0,1.06,0,13.81,0,1.06,1.06,0,0,2.12,0,1.06,20.18,1.06,2.12,3.19,57.35,2.12,0,1.06,0,2.12,0,0,0,4.25,1.06,2.12,0,1.06
 96-106,0,0,1.09,1.09,29.51,0,0,1.09,18.58,0,0,0,0,2.19,0,0,0,17.49,0,2.19,1.09,52.46,0,0,0,0,2.19,0,0,0,4.37,0,4.37,0,0
108-118,0.77,0,0.77,0,14.55,0.77,0.77,0.77,13.02,0,0.77,0,0,0.77,0.77,0,0,13.02,0,0.77,3.06,36.77,0,0.77,1.53,0.77,0.77,0,0,0,3.83,0,5.36,0,0
120,0,0,3.92,1.96,15.68,0,0,0,15.68,0,1.96,0,0,1.96,0,0,0,9.8,0,0,0,54.87,0,0,1.96,0,0,0,0,0,1.96,0,5.88,0,0
