stage,blastomeres,eye,glial,gut,ionocyte,liver,mesenchyme,neural,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,5,0,1,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0.57,0,0,0,0,0,8.61,0,0,1.15,0
 60-70,0,0,1.96,0,0,0,0,8.83,0,0,0,0
 72-82,0,3.93,0,0,0,0,0,6.87,0,0,0,0.98
 84-94,0,2.12,1.06,0,0,0,1.06,6.37,0,1.06,0,0
 96-106,0,2.19,3.28,0,0,0,0,6.56,0,0,0,0
108-118,0,0.77,0,0.77,0,0.77,0.77,2.3,0,0,0,0
120,0,0,0,0,0,0,0,7.84,0,0,0,0
