stage,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,mucous,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,2
 24-34,0,0,0.82,0,0,0,0.82,0,2.46,0,0.82,0,0,3.28
 36-46,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,4.03
 48-58,0,0,0,0.57,0,0.57,0.57,0,1.72,0,0,0,0,3.44
 60-70,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,0.98,0.98,0,0,0,0,0,2.94
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,1.09,0,1.09,0,2.19,0,1.09,0
108-118,0,0.77,0,0,0,0,0,0,1.53,0.77,0,0,0,2.3
120,0,0,1.96,0,0,7.84,0,0,5.88,0,5.88,1.96,0,5.88
