stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,65.89,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,15.77,7.89,0,5.26,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,160.35,10.51,0,0,70.98,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,78.67,0,0,0,15.73,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,18,2,0,4,0,1,0,0,1,0,0,1,0,7,0,0,6,64,0,2,0,4,2,10,0,7,16,2,0
 24-34,0,0,0.82,0.82,6.57,0.82,0,6.57,0,0,0,0.82,0,0,0.82,0,0,13.95,0,0,4.93,50.89,0,0,1.64,0,19.7,0,0,1.64,15.6,2.46,0.82
 36-46,0,0,0,0,0.81,0,0,5.64,0.81,0.81,0,2.42,0,0,0,0,0,6.45,0,0,2.42,16.92,0.81,0,0,0,10.47,0,0,0,4.83,0,0
 48-58,0,0,0,0,1.72,0,0,7.46,0,1.15,0.57,0.57,0,0,0.57,0.57,0,3.44,0,0.57,1.72,10.9,0,0,1.72,0,2.87,0,0,0,5.74,0,0.57
 60-70,0,0,0,0,0,0,0,9.82,0,0,0,1.96,0.98,0,0,0,0,2.94,0,1.96,0.98,19.63,0,0,0,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0.98,0.98,0,2.94,0,0.98,2.94,0,0,0,7.85,0,0,0,0,1.96,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,4.25,0,1.06,0,0,1.06,0,2.12,0,0,7.43,0,1.06,0,4.25,0,0,0,0,2.12,0,0,0,2.12,0,1.06
 96-106,0,0,0,0,2.19,0,0,7.65,0,0,0,0,0,0,1.09,0,0,14.21,1.09,0,0,10.93,0,0,0,0,3.28,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0.77,0.77,3.83,0,0.77,0.77,0,0,0,1.53,0,0,6.13,0,0.77,0,4.6,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,5.88,0,0,0,0,0,0
