stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,13.14,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,18.88,0,6.29,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0.82,0,1.64,4.93,0,0,0,0,0.82,1.64,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,4.83,0,0.81
 48-58,0,0,0.57,0.57,0,0,0,0,0,0.57,0,2.3,0,0,0,0,0,2.3,0,0
 60-70,0,0,3.93,0,0.98,0,0,0,0,1.96,0.98,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,0,0,0.98,0.98,3.93,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,2.12,0,0,1.06,0,1.06,0,1.06,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,1.09,3.28,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
