stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,2,9,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,3,85,2,1,6,2,0,0,0,2,1,2,4,40,0,0,1,0,0
 24-34,0,0.82,0.82,2.46,0,17.24,0,0.82,0,4.1,0,0.82,0,0,0,0,9.85,0,0.82,11.49,0,0,5.75,284.84,0,13.13,10.67,0,0,0,0,0,0,1.64,2.46,73.88,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,29.81,0,0,0,11.28,0,0.81,0.81,0,0,0,0.81,0.81,0.81,8.86,0,0,3.22,379.47,0.81,7.25,8.06,0,0,0,0,0,0,0.81,0,90.23,0,0,1.61,0,2.42
 48-58,0,0,0,4.02,0,56.81,1.72,0,0,12.05,1.72,5.16,0,1.15,0,0.57,4.02,0,1.15,15.49,2.3,0.57,3.44,253.62,1.15,4.02,8.03,0,0,0.57,0,0,0,0,0,61.97,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,133.49,1.96,0.98,0.98,31.41,0.98,3.93,0,0,0,0.98,2.94,0,0.98,19.63,0.98,0,0,250.29,0,3.93,11.78,0.98,0,0.98,0,0,0,2.94,0,46.13,0,0,0.98,0,1.96
 72-82,0,0,0,6.87,0,199.28,0.98,0,0.98,31.41,2.94,1.96,0.98,0.98,0.98,0,7.85,0,0,39.27,8.83,0,3.93,232.65,0,5.89,24.54,0,0,0.98,0,0,0,1.96,0,21.6,0,0.98,3.93,1.96,0.98
 84-94,0,1.06,0,5.31,0,115.76,2.12,0,0,21.24,2.12,4.25,0,1.06,3.19,1.06,6.37,0,1.06,28.68,2.12,2.12,4.25,120.01,0,7.43,29.74,0,1.06,0,1.06,0,1.06,0,0,8.5,4.25,0,1.06,3.19,1.06
 96-106,0,1.09,0,4.37,0,114.75,2.19,1.09,0,24.04,4.37,1.09,0,0,4.37,1.09,15.3,0,0,16.39,4.37,0,3.28,99.45,1.09,10.93,30.6,0,0,3.28,1.09,0,0,0,0,8.74,1.09,1.09,3.28,2.19,1.09
108-118,0,0,0.77,4.6,0,93.45,1.53,0.77,0.77,17.62,6.13,0,0,0.77,1.53,1.53,9.19,0.77,0.77,9.96,4.6,0.77,1.53,99.58,0,4.6,29.87,0,0,2.3,0,0,0.77,1.53,0,3.83,6.89,1.53,2.3,3.06,0.77
120,0,0,1.96,13.72,0,94.07,1.96,0,0,15.68,9.8,0,0,1.96,3.92,0,1.96,0,0,13.72,1.96,0,7.84,146.98,0,11.76,29.4,0,0,0,0,0,0,0,0,3.92,9.8,1.96,1.96,0,1.96
