stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0.82,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0.81,0.81,0.81,2.42,0,0,0.81,0,0,0.81,0,0,0,0,4.03,0,0,0,145.02,0,1.61,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0.57,0,19.51,0,0.57,3.44,1.15,0,0,0,0,0,0,8.61,0,0,0.57,191.08,0,2.3,0,0,0,0,10.33,0,0,0.57,0,0
 60-70,0,0,2.94,0,54.97,0,0,0.98,0.98,0,0,0,0,0,0,29.45,0,0,0,339.61,0,1.96,0.98,0,0,0,19.63,0,0,0.98,0,0
 72-82,0,0,1.96,0,106.02,0.98,1.96,4.91,2.94,0,0,1.96,0,0.98,0,61.84,0,2.94,0.98,423.1,0,2.94,0.98,0,2.94,0,25.52,0,1.96,3.93,3.93,0.98
 84-94,0,0,1.06,0,59.47,0,1.06,7.43,1.06,1.06,0,0,1.06,0,1.06,22.3,0,3.19,0,184.79,0,0,1.06,0,2.12,0,6.37,0,0,1.06,1.06,0
 96-106,0,0,1.09,1.09,75.41,0,0,5.46,2.19,1.09,0,1.09,1.09,0,0,42.62,1.09,2.19,1.09,174.86,0,1.09,0,0,4.37,0,6.56,1.09,0,0,3.28,1.09
108-118,0,0,2.3,1.53,52.85,0,0.77,4.6,1.53,0,1.53,0,0,0,0,45.96,0,2.3,0.77,226.73,0,0.77,0.77,0,6.89,0.77,3.06,1.53,0.77,0.77,3.06,0.77
120,0,0,1.96,0,50.95,0,0,7.84,0,0,0,0,0,0,0,33.32,0,1.96,0,221.46,1.96,1.96,0,0,3.92,3.92,9.8,0,0,1.96,5.88,0
