stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,139.32,2.63,0,0,60.46,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,28.32,0,0,3.15,0,0,0
 14-21,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,3,1,11,0,0,1,1,0,3,0,3,2,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,1.64,0.82,0,0.82,0,0.82,0,4.1,1.64,12.31,0,0.82,1.64,0,0,0,0,0,4.1,0.82
 36-46,0,0,0,0,2.42,0,4.03,0,0,0,0,0,0,0,0,0,3.22,2.42,7.25,0,2.42,0.81,0,0.81,0,0,0,6.45,0
 48-58,0,0,0,0,0.57,0,4.59,0,0,0.57,0.57,0,0,0,0.57,0,1.72,0,2.87,0,0,0.57,0,0,0,1.15,0,1.72,0
 60-70,0,0,0,0,0.98,0.98,5.89,0.98,0,0.98,1.96,0,0,0,0,0,1.96,0.98,1.96,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,1.96,0,1.96,0,0,0,0,0.98,0,0,0.98,1.96,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,3.19,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,2.19,0,2.19,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0,0,0.77,0,0.77,0.77,2.3,0,0.77,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0
