stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,2912.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,741.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,311.55,12.59,0,0,6.29,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,3,76,4,0,1,1,0,7,3,2,0,0,10,0,0,0,0,4,0,0,0,25,0,0,5,0,0,13,0,1,3,0,24,0,0,1,0,0
 24-34,0,0,0,3.28,51.71,0,0,3.28,11.49,0,9.03,0.82,0,0,0.82,13.95,0,1.64,0,0,4.93,1.64,0,3.28,66.49,2.46,3.28,2.46,0,0,50.89,0,0,9.03,0.82,22.98,0,0,20.52,0,0
 36-46,0,0,0.81,0.81,13.7,0.81,0,3.22,6.45,0.81,6.45,1.61,0,1.61,0,4.03,0,1.61,0,0.81,11.28,3.22,0,4.83,46.73,0.81,4.83,2.42,0,0,45.12,0,0,2.42,0,20.14,0,0,20.95,0,0.81
 48-58,0,0,0.57,0,8.61,0.57,0,7.46,2.87,1.15,16.64,1.72,1.72,0,0,2.3,0,2.3,0.57,0,12.62,1.72,0,1.15,30.99,0.57,1.72,5.16,0,0,24.1,0,0,2.87,0,20.08,0,0,15.49,0,0
 60-70,0.98,0,1.96,0,7.85,0,0,5.89,6.87,0.98,27.48,11.78,0,0,0,1.96,0,1.96,0,0,30.43,1.96,0,0.98,24.54,0,3.93,2.94,0,0,32.39,0,0,0.98,0,11.78,0,0,9.82,0,0
 72-82,0,0,7.85,0,14.72,0,0,7.85,2.94,0,28.47,14.72,0.98,2.94,0,7.85,0.98,5.89,0.98,0,52.03,3.93,0.98,0.98,20.61,0,5.89,6.87,0,0.98,39.27,0,0,1.96,0,8.83,6.87,0,11.78,0.98,0.98
 84-94,0,0,5.31,0,29.74,1.06,0,5.31,12.74,1.06,16.99,25.49,3.19,0,2.12,9.56,1.06,6.37,2.12,0,16.99,5.31,1.06,1.06,15.93,0,2.12,10.62,0,0,75.4,0,0,7.43,0,5.31,3.19,1.06,3.19,1.06,1.06
 96-106,0,0,1.09,0,38.25,0,0,5.46,4.37,1.09,16.39,20.76,0,0,3.28,10.93,1.09,6.56,1.09,0,29.51,5.46,2.19,1.09,18.58,0,17.49,10.93,0,0,74.31,0,0,3.28,0,4.37,6.56,2.19,5.46,2.19,2.19
108-118,0,0,3.06,0,34.47,0,0,4.6,9.96,0,11.49,26.04,0,0,0.77,9.96,0,7.66,2.3,0,19.15,0.77,0.77,0.77,15.32,0,6.13,10.72,0,0.77,39.06,0,0,3.06,0,3.06,7.66,0,4.6,0.77,0
120,0,0,0,1.96,23.52,0,1.96,1.96,7.84,1.96,9.8,43.12,0,0,1.96,7.84,0,7.84,0,0,9.8,7.84,0,0,15.68,0,5.88,9.8,0,1.96,43.12,0,0,7.84,0,3.92,1.96,0,1.96,1.96,0
