stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,8,6,0,1,0,0,0,2,13,0,0,14,0,0,0,2,3,1,0,1,44,1,5,8,0,0,0,3,116,3,8,0,0,0,0
 24-34,0,0,1.64,1.64,4.1,0,0,3.28,0,0.82,0.82,0.82,6.57,0,0,84.55,0,0.82,7.39,0,0,4.1,0,0,21.34,0,51.71,5.75,0,0.82,0,0,94.4,0,7.39,0,0,0.82,2.46
 36-46,0,0,0.81,0.81,1.61,0,0,14.5,0,0.81,0,0.81,6.45,0,0,31.42,0,3.22,2.42,0,0.81,7.25,0,0,41.89,0,63.65,5.64,0,0,0,0,52.37,0.81,2.42,0,0,0.81,0
 48-58,0,0,0,0.57,1.72,0,0,21.8,0,0,0,1.72,2.87,2.87,0,10.9,0,1.72,5.74,0,2.3,4.59,0,0,18.36,0,46.48,1.15,0,0.57,0,0,23.53,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,5.89,0,0.98,19.63,0,1.96,0.98,1.96,11.78,0,0,18.65,0,8.83,2.94,0,1.96,4.91,0,0,13.74,0,54.97,5.89,0,0,0,0,36.32,0,2.94,2.94,0,0,0
 72-82,0,0,1.96,0,9.82,0.98,0.98,25.52,0,0.98,0.98,10.8,45.16,2.94,0,36.32,0,11.78,1.96,0,9.82,3.93,0,1.96,19.63,0,105.04,6.87,0,1.96,0,0,40.25,0,1.96,14.72,0,0.98,0
 84-94,0,0,2.12,2.12,9.56,0,3.19,32.92,0,1.06,1.06,4.25,122.13,0,0,32.92,1.06,25.49,2.12,0,8.5,8.5,0,0,12.74,0,106.2,3.19,0,3.19,1.06,0,106.2,0,0,72.22,1.06,0,3.19
 96-106,0,0,0,0,22.95,2.19,4.37,34.97,0,1.09,0,3.28,160.65,0,2.19,76.5,0,45.9,2.19,0,12.02,4.37,0,0,14.21,1.09,209.83,9.84,0,3.28,0,0,124.58,0,1.09,162.83,0,0,0
108-118,0,0,1.53,0,29.11,0.77,10.72,32.17,1.53,2.3,0.77,13.79,182.3,0,2.3,57.45,0.77,37.53,1.53,0,17.62,7.66,0,0,8.43,0,121.02,6.89,0,0,0,0,128.68,0,0.77,174.64,0.77,3.06,0
120,0,0,0,0,37.24,1.96,5.88,13.72,1.96,1.96,0,5.88,82.31,0,5.88,29.4,0,19.6,1.96,0,15.68,9.8,1.96,1.96,5.88,1.96,99.95,1.96,0,0,0,0,72.51,0,0,60.75,0,0,0
