stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,55.2,7.89,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,22.03,0,0,3.15,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,4,38,0,0,1,0,0,0,2,2,0,4,11,0,0,0
 24-34,0,0,0,0.82,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0.82,21.34,0,0,0,0,0,0,0,0,0,0.82,7.39,0,1.64,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,4.03,0,0,18.53,0,0,1.61,0,0,0.81,0,0,0,0,6.45,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,2.3,0,0,0.57,0,0,0,0,0.57,6.89,0,0.57,9.75,0,0,0.57,0,0,0.57,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,10.8,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,0.98,0,1.96,9.82,0,0,3.93,0,0,0.98,0,0,25.52,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,0,1.06,0,3.19,2.12,0,1.06,1.06,0,0,0,1.06,0,19.12,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,2.19,1.09,0,4.37,1.09,0,0,1.09,0,22.95,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0.77,0,0,0.77,1.53,0.77,0,1.53,3.83,0,16.85,0.77,0,6.13,0,0.77,0.77,0,0,2.3,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,1.96,3.92,1.96,0,0,0,0,19.6,0,0,5.88,0,0,1.96,0,1.96,3.92,0,0,0,0,0,1.96,1.96,0
