stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,948.81,0,0,0,0,0,0,0,0,39.53,0
  5-6,24.52,766.2,6.13,0,0,0,0,6.13,0,12.26,18.39,0
  7-9,2.63,0,7.89,21.03,0,0,0,155.09,0,18.4,0,0
 10-12,0,0,0,0,0,0,0,9.44,3.15,6.29,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,4.1,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
