stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,4,52,0,0,1,1,3,3,1,15,14,0,0,0
 24-34,0,0,0.82,3.28,0.82,0,12.31,0,0,4.93,0,0,0,0,1.64,0,0.82,0,0,8.21,0,0,4.1,61.56,0,0.82,0,0,15.6,0,0.82,2.46,17.24,0.82,0,0.82
 36-46,0,0,0,0,0,0,6.45,0,0,3.22,0,0.81,0,0,0,0,0,0,0,3.22,0,0,1.61,34.64,0,0.81,1.61,0,2.42,0,0,0,7.25,0.81,0,0.81
 48-58,0,0.57,0,0,0,0,14.92,0,0,4.02,0,0,0.57,0.57,0,0,0,0,0,4.02,0.57,0,1.15,47.63,0,0.57,0,0,2.3,0,0,0,14.35,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,13.74,0,0,2.94,0,0,0,1.96,0,0,0,0,0,7.85,0,0,0,25.52,0,0.98,1.96,0,0.98,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,0.98,0,0,33.38,0,0,9.82,0,0.98,0,0.98,0,0.98,0,0,0,10.8,1.96,0.98,0.98,41.23,0.98,4.91,0,0,5.89,0,0.98,0,3.93,0,0,0
 84-94,0,0,0,1.06,0,0,20.18,0,1.06,3.19,0,0,0,4.25,1.06,0,0,0,0,3.19,0,1.06,0,15.93,1.06,0,1.06,0,21.24,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,0,9.84,0,0,4.37,3.28,0,0,4.37,1.09,0,1.09,0,0,6.56,0,0,4.37,8.74,2.19,6.56,2.19,0,20.76,0,0,0,1.09,0,0,0
108-118,0,0.77,0,4.6,0,0.77,16.85,0,0,5.36,0.77,0,0,0,0,0,0.77,0,0.77,6.89,1.53,0,1.53,29.11,0.77,1.53,0.77,0,4.6,0,0,0,3.06,0.77,0.77,1.53
120,0,0,0,3.92,0,0,15.68,1.96,0,1.96,0,0,0,1.96,1.96,1.96,0,3.92,0,9.8,1.96,0,3.92,29.4,1.96,1.96,0,0,15.68,0,0,0,0,0,0,0
