stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,3.15,0,0,0,0,0,0
 14-21,0,0,5,14,3,0,0,1,2,0,3,0,0,0,2,0,0,3,17,0,0,0,0,60,1,12,0,0,0,0
 24-34,0,1.64,1.64,0,1.64,0,0,0.82,0.82,0.82,0.82,0,0,0,2.46,0,0,0.82,22.98,0,0,0,0,109.17,0.82,2.46,0,0,0,0
 36-46,0,0.81,0.81,0,2.42,0,0,0,0,0,1.61,0,0.81,0,3.22,0.81,0,0.81,7.25,0,0.81,0,0,72.51,0,2.42,0,0.81,0,0
 48-58,0,0,1.72,0,1.15,0,0,1.15,0,0.57,4.02,1.15,0,0,1.72,0.57,0,0,9.75,0,0,0,0,48.2,0,1.15,0,0.57,0,0
 60-70,0,0,3.93,0,1.96,0.98,0,0,0,0,11.78,0,0,0,1.96,0,0,0,12.76,0,0,0,0,60.85,0,2.94,0,0,0,0
 72-82,0,0,9.82,0,0,1.96,0.98,0.98,0,0.98,5.89,1.96,0,0,0.98,0,0.98,0,6.87,0,0,0,0,55.95,0,0,0,0,0.98,0
 84-94,0,0,8.5,0,0,5.31,0,1.06,0,0,16.99,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0,0,111.51,0,1.06,0,0,0,1.06
 96-106,0,0,17.49,0,5.46,1.09,0,0,0,0,13.11,2.19,0,0,2.19,1.09,0,0,3.28,0,0,1.09,0,107.1,0,0,1.09,0,0,0
108-118,0,0,11.49,0,0.77,3.06,0.77,0,0,0,13.02,3.06,0,0,0.77,2.3,0.77,0,6.13,0,0.77,0,0,83.49,0,0.77,0,0.77,0,0
120,0,0,7.84,0,0,7.84,0,0,0,0,21.56,1.96,0,1.96,0,3.92,0,0,7.84,0,0,0,0,68.59,0,0,0,0,0,0
