stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,15.73,0,0,3.15,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,57,0,3,0,0,0,16,4,0,0,0,0,0,0,0,12,0,0,3,47,3,0,0,6,0,6,0,10,71,2,6,55,0,0,13,0,0
 24-34,0,0,0.82,1.64,0.82,0,5.75,0,0.82,0,21.34,0,0.82,0,0,0,0,0,0.82,22.16,0,0,1.64,51.71,0.82,0.82,0.82,0,0,34.48,0,0,12.31,0,2.46,42.68,0,0,33.66,0,4.93
 36-46,0,0,0.81,0,0,0,6.45,0,1.61,2.42,29.81,0,3.22,0,0.81,0,0,0,0,18.53,0.81,0,1.61,33.03,0,0.81,0,0,0,27.39,0,0,4.83,0.81,0,29.81,0,0,11.28,0,1.61
 48-58,0,0,0.57,1.15,0,0,4.59,0,0.57,0,49.35,8.61,1.72,0,0,0,0,0,1.72,33.28,0,0,2.3,21.8,1.15,0,1.15,0,0,16.07,0,0,0.57,0,0,41.89,0,0,11.48,0,4.59
 60-70,0,0,0.98,1.96,0,0,13.74,0,0,3.93,75.58,9.82,0,0,0,0,0,0,1.96,61.84,0,1.96,2.94,31.41,0,1.96,1.96,0,0,24.54,0,0,0,0.98,0,35.33,0,0.98,11.78,0.98,1.96
 72-82,0,0,0,0,0.98,0,25.52,0,1.96,4.91,222.84,3.93,3.93,0,0,4.91,0.98,0.98,0.98,183.57,0,4.91,9.82,29.45,0,0.98,5.89,0,1.96,18.65,0,0,0.98,0,0,31.41,0.98,0.98,29.45,4.91,2.94
 84-94,0,0,0,8.5,3.19,0,36.11,0,1.06,7.43,145.5,7.43,4.25,1.06,1.06,2.12,0,0,4.25,121.07,0,7.43,5.31,16.99,0,1.06,1.06,0,0,75.4,0,0,1.06,0,0,25.49,1.06,0,16.99,5.31,7.43
 96-106,0,0,1.09,8.74,0,0,27.32,0,6.56,3.28,145.35,0,3.28,0,0,2.19,3.28,0,1.09,113.66,0,7.65,5.46,27.32,0,1.09,2.19,0,2.19,48.09,0,0,2.19,0,0,33.88,0,2.19,37.16,8.74,3.28
108-118,0,0,0.77,14.55,0.77,0.77,31.4,0,12.26,9.96,146.3,0,0.77,0.77,1.53,10.72,0,0.77,3.06,100.34,0.77,6.13,5.36,38.3,0.77,1.53,6.13,0,3.83,58.21,0,0,0,1.53,0,16.85,0,2.3,25.28,5.36,9.96
120,0,0,0,9.8,0,0,23.52,1.96,7.84,3.92,148.94,1.96,3.92,0,1.96,5.88,0,0,1.96,107.79,1.96,9.8,3.92,7.84,0,0,0,0,0,82.31,0,0,3.92,0,0,15.68,0,0,27.44,1.96,3.92
