stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,63.09,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,50.35,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,28,0,6,0,4,0,3,0,0,0,0,0,0,0,1,0,0,2,22,124,0,0,7,0,1,2,1,0,2,4,0,0,0,0,0
 24-34,0,0,0,0,123.95,0,19.7,0,20.52,2.46,3.28,0,0,0.82,0,0,0,0,20.52,0.82,0,30.37,33.66,10.67,0,0,0,0.82,0.82,0,27.09,0,13.95,13.13,0,0,0,0,1.64
 36-46,0,0,0,0,56.4,0,19.34,0,8.06,6.45,3.22,0,0,0,0,1.61,0,0,88.62,0,0,21.75,30.62,7.25,0,0,0,0,0.81,0,9.67,0,0,22.56,0,0,0.81,0,2.42
 48-58,0,0,0,0,59.1,0.57,19.51,0,10.9,7.46,3.44,0,0,0,0,2.3,0,0,232.39,0.57,0,22.38,36.72,3.44,0,1.72,0,0,0,0,8.61,0,0,22.95,0,1.15,0.57,0,4.02
 60-70,0.98,0,0,0,80.48,0,21.59,0.98,7.85,2.94,16.69,0,0,0,0,10.8,0.98,0,400.46,0,0,20.61,49.08,3.93,0,0,0,0,0,0,5.89,0,0,8.83,0,2.94,0,0.98,1.96
 72-82,0,0,0,0.98,117.8,0.98,57.92,0,9.82,10.8,61.84,0,1.96,0.98,0.98,5.89,0,0,763.73,2.94,0.98,36.32,64.79,4.91,0,3.93,0,0,0,0,3.93,0,0,8.83,2.94,15.71,0,3.93,9.82
 84-94,0,0,0,1.06,214.53,1.06,77.53,0,10.62,5.31,45.67,0,3.19,0,2.12,13.81,1.06,2.12,486.41,3.19,1.06,27.61,40.36,7.43,0,3.19,0,0,1.06,0,8.5,0,0,5.31,0,16.99,3.19,5.31,4.25
 96-106,0,0,1.09,2.19,196.71,1.09,66.66,1.09,6.56,10.93,56.83,0,2.19,2.19,0,19.67,0,2.19,503.8,3.28,2.19,13.11,68.85,4.37,2.19,8.74,0,1.09,3.28,0,3.28,0,0,0,1.09,32.79,6.56,6.56,5.46
108-118,0,0,0,1.53,120.26,1.53,43.66,1.53,6.89,13.02,45.96,0.77,0.77,0,0.77,14.55,0,1.53,432,0.77,2.3,12.26,72.77,5.36,0,3.83,0,2.3,1.53,0,2.3,0.77,0,3.06,0.77,18.38,3.06,3.83,9.19
120,0,0,0,0,86.23,0,68.59,1.96,5.88,15.68,35.28,1.96,0,3.92,0,15.68,0,1.96,315.53,3.92,1.96,15.68,50.95,7.84,1.96,1.96,0,0,0,0,1.96,0,0,0,0,19.6,0,3.92,3.92
