stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2082.11,35554.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647.24,0,0,0,0,0,0,0,0,0
  5-6,2690.91,32811.94,0,42.91,0,0,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0,999.13,98.07,0,0,251.32,864.28,0,0,0,0,0,0,0,0,0
  7-9,541.51,523.11,0,854.33,0,5.26,1590.37,0,0,0,0,609.86,0,0,0,0,0,0,0,0,15625.07,620.38,0,0,5809.46,73.6,73.6,0,0,0,0,0,0,0,0
 10-12,6.29,213.99,0,343.02,0,34.62,774.15,0,0,0,0,113.29,0,0,0,0,6.29,0,0,0,5570.14,245.46,0,0,2117.91,28.32,25.18,12.59,198.26,0,18.88,9.44,0,0,0
 14-21,0,0,9,15,299,40,75,0,0,5,13,6,2,1,1,0,2,64,0,55,801,80,1,19,31,71,3,182,21,30,219,263,1,0,0
 24-34,0,0,6.57,0,4.1,0.82,3.28,0,0,4.1,0,0,0.82,13.95,0,0,2.46,4.93,0.82,2.46,75.52,0.82,0,7.39,0,19.7,0,0,0,0.82,1.64,68.13,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,9.67,0,0,0.81,0.81,0,0,12.89,0,0,4.83,0,6.45,0,0,0,0,0,19.34,0,0,0.81
 48-58,0,0,0.57,0,0,0,3.44,0,0,1.15,0.57,0,0,10.33,0,0,0,0,0,0,5.16,0.57,0,7.46,0,1.15,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,3.93,0,0,0,7.85,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,8.83,2.94,0.98,20.61,0,0.98,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,19.63,0,0,0.98,7.85,0.98,0,0.98,1.96,0,0,6.87,0,0,1.96,1.96,0,0,15.71,0.98,0,45.16,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,12.74,0,1.06,0,3.19,0,0,0,2.12,0,0,6.37,0,1.06,2.12,2.12,0,0,3.19,0,0,67.97,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,18.58,0,1.09,0,4.37,0,1.09,1.09,6.56,0,0,6.56,0,0,4.37,5.46,0,0,6.56,0,0,79.78,0,2.19,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,9.19,0,3.06,0.77,7.66,0,0.77,3.06,4.6,0,0,13.02,0.77,0,2.3,3.83,0,0.77,14.55,0,0,59.75,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,13.72,0,1.96,0,0,0,0,1.96,0,0,0,11.76,0,0,0,0,0,0,9.8,0,0,86.23,0,0,0,0,0,0,0,0,0,0,0
