stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,10.51,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,136.69,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,185.67,6.29,0,0,66.09,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29,0,0,0,1,0,0,3,0,0,2,17,0,0,0
 24-34,0,0,0,0.82,1.64,0,4.93,0,0,0,2.46,0,0,0.82,0.82,0,4.93,0,0,1.64,60.74,0.82,0,0,0,3.28,0,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,0,0.81,0,13.7,0.81,0.81,0,2.42,0,0,0,0,0,2.42,0,0,0,74.12,0,0,1.61,0,1.61,0,0,0,0.81,0,19.34,0,0.81,0
 48-58,0,0,0,0,1.15,0,17.79,0.57,0,0.57,3.44,0.57,0,0,0.57,0,10.33,0.57,0,0,48.77,0.57,1.15,0,0,1.72,0,0,0,0,0,9.75,0,0.57,0
 60-70,0,0,0,0,0,0,33.37,0,0,0,3.93,0,0,0,0,0,7.85,0,0,0,36.32,0,1.96,0.98,0,0.98,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0.98,0.98,19.63,0,0,0,3.93,0.98,0,0,0,0,4.91,0,0,0,22.58,0,0.98,0.98,0,1.96,0.98,0,0,0,0,4.91,0,0,0.98
 84-94,0,0,1.06,0,3.19,2.12,8.5,0,0,0,2.12,0,0,2.12,1.06,1.06,3.19,0,0,1.06,15.93,0,1.06,1.06,0,4.25,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,12.02,0,0,0,3.28,0,0,0,0,0,3.28,0,2.19,0,16.39,0,0,1.09,0,2.19,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,0,1.53,0,6.13,0,0.77,0,2.3,0.77,0,0,0,0,3.06,0.77,0.77,1.53,11.49,0,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,7.84,0,3.92,1.96,1.96,0,1.96,0,0,1.96,0,0,3.92,0,0,1.96,21.56,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0
