stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,3.15,0,0,9.44,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,39,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,128,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,27.91,0.82,0,1.64,1.64,0,0,0,0,9.85,0,3.28,0,1.64,0.82,3.28,0.82,14.78,0,10.67,0,0,0,225.74,0,0,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,0,0.81,3.22,0,1.61,0,0,0.81,0,1.61,0,1.61,0.81,7.25,0,20.14,0,9.67,0,0,0,142.6,0.81,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,10.9,0,0,1.72,4.02,0,0.57,0,0,1.15,0,5.16,0,2.87,0,4.02,0,14.92,0,5.16,0.57,0,0,96.97,0,0,0,1.15,0,0.57,0,1.15
 60-70,0,0,0.98,0,24.54,0.98,0,1.96,5.89,0,0,1.96,0,3.93,0,5.89,0,3.93,1.96,7.85,0,1.96,0,7.85,1.96,0,0,157.04,0,0,0,0,1.96,0.98,0.98,1.96
 72-82,0,0,1.96,0,24.54,0,0,6.87,4.91,4.91,8.83,0.98,0,1.96,0,15.71,0,1.96,1.96,14.72,0,8.83,0,16.69,0.98,0,0,246.4,0,0,0,0,0.98,0.98,0,1.96
 84-94,0,0,1.06,0,46.73,1.06,0,2.12,9.56,0,12.74,1.06,0,6.37,0,4.25,0,5.31,1.06,12.74,0,7.43,0,18.05,0,0,0,572.44,0,1.06,0,1.06,6.37,0,0,1.06
 96-106,0,0,1.09,0,87.43,0,0,7.65,17.49,5.46,21.86,1.09,1.09,15.3,1.09,17.49,1.09,3.28,6.56,19.67,1.09,16.39,0,24.04,4.37,0,1.09,718,0,0,0,0,8.74,0,0,3.28
108-118,0,0,0.77,0.77,81.96,0,1.53,2.3,19.92,0.77,25.28,0,1.53,13.02,0,10.72,0.77,3.83,2.3,15.32,0,13.02,0,9.19,1.53,0,0,495.58,0,0.77,0,0.77,13.79,0,0,2.3
120,0,0,0,0,64.67,3.92,0,0,19.6,1.96,13.72,0,0,11.76,0,5.88,0,0,3.92,21.56,1.96,9.8,0,21.56,0,0,0,462.51,0,1.96,0,0,7.84,0,0,1.96
