stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,5.26,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,65,0,0,4,2,0,1,1,0,0,0,0,0,1,2,0,0,4,94,3,7,8,1,0,0,0,1,0,0,1,29,0,0,0,0,0
 24-34,0,0,3.28,1.64,31.19,0,0,7.39,5.75,0,4.93,0,0,0,0,0,5.75,0,4.93,0,0,2.46,284.84,3.28,1.64,9.85,0,0,0.82,0,0,0,0,0,65.67,0,0,0,0,0
 36-46,0,0,2.42,0,18.53,0,0,5.64,10.47,0,9.67,0,0,0,0,0,5.64,0.81,19.34,0,0,4.03,321.46,4.03,1.61,8.06,0,0.81,0,0,0,1.61,0,0.81,58.01,0,0,0.81,0,0
 48-58,0,0,1.15,0,15.49,0,0,24.1,8.03,0,9.75,0,0.57,0.57,0.57,0,1.72,3.44,28.69,1.15,0,3.44,243.29,6.31,0.57,5.16,0,0,1.72,0,0,0,0,0,59.68,0,0,1.15,0,0
 60-70,0,0,0.98,0,20.61,0,0,22.58,11.78,1.96,21.59,0,0,0,0,0,1.96,3.93,53.98,0,0,6.87,255.2,3.93,2.94,3.93,0,0,1.96,0,0,0,0,0,60.85,0,0.98,0,0,0.98
 72-82,0,0,4.91,0,31.41,0,0,23.56,10.8,1.96,17.67,0,0,0,0,0,2.94,10.8,84.42,0,0,6.87,228.73,3.93,1.96,10.8,0,0,0.98,0,0,0,0,0,24.54,3.93,0,0,1.96,0
 84-94,0,0,2.12,1.06,70.09,1.06,0,22.3,16.99,0,8.5,1.06,0,0,1.06,0,0,42.48,54.16,0,2.12,3.19,116.82,7.43,0,5.31,0,0,1.06,0,0,3.19,1.06,0,18.05,3.19,2.12,1.06,0,1.06
 96-106,0,0,3.28,0,62.29,2.19,1.09,18.58,22.95,0,12.02,5.46,0,0,1.09,1.09,1.09,110.38,85.24,1.09,3.28,4.37,112.56,1.09,3.28,7.65,0,0,0,0,0,0,0,0,7.65,2.19,3.28,0,1.09,1.09
108-118,0,0,3.83,0,38.3,0.77,0.77,12.26,19.92,1.53,5.36,2.3,0,0,0.77,0.77,0.77,347.75,51.32,0,3.06,0.77,101.11,4.6,1.53,9.96,0,0,1.53,0,0,0,0,0,9.96,1.53,0.77,1.53,1.53,0
120,0,0,9.8,0,41.16,0,0,7.84,19.6,9.8,7.84,1.96,0,0,1.96,0,0,172.46,39.2,0,0,1.96,82.31,1.96,1.96,13.72,0,0,0,0,0,0,0,0,7.84,3.92,0,1.96,0,0
