stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,55,1,1,0,0,0,0,0,1,21,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0,0,0.82,0,0,0,0,0,0.82,0,4.93,0,0,1.64,337.37,0,0.82,1.64,0,2.46,0,0,0,64.85,0,8.21,0,0.82
 36-46,0,0,0,0,2.42,0,0,9.67,0,0,8.86,0,0,0,0,0,0,0,4.03,0,0,2.42,342.41,0,0.81,2.42,0.81,2.42,0,0.81,0,44.31,0,4.03,0,0
 48-58,0,0,0,0,1.72,0,0,20.66,0.57,0,17.21,0,0,0.57,0,1.15,0,0.57,12.62,0,0,2.87,323.05,0.57,0.57,1.15,0,1.15,0.57,0,0,42.46,0,2.3,0,0
 60-70,0,0,0.98,0,3.93,0,0,36.32,0,0,42.21,0,0,0,1.96,0,0,0,16.69,0,0.98,0,461.32,0,0.98,0.98,0,1.96,0,0,0,39.26,0,0.98,0,1.96
 72-82,0,0,0,0,1.96,0.98,0,71.66,0,0,48.1,0,0.98,0,3.93,0,0,0,31.41,0,0,0.98,532.06,0.98,0,1.96,0,6.87,0,0,0,25.52,0,3.93,0.98,0
 84-94,0,0,0,0,6.37,2.12,0,57.35,0,2.12,28.68,0,0,0,2.12,0,0,0,10.62,0,1.06,0,266.57,0,1.06,3.19,0,19.12,0,0,0,18.05,1.06,2.12,0,0
 96-106,0,0,0,0,7.65,0,1.09,38.25,0,0,42.62,0,1.09,0,1.09,0,1.09,0,18.58,0,0,0,219.66,0,5.46,1.09,1.09,14.21,0,0,0,6.56,0,2.19,0,0
108-118,0,0,0,0,1.53,0.77,0,32.94,0,0.77,35.23,0,0,0.77,5.36,0,0,0,10.72,0,0,0.77,240.51,0,0.77,5.36,0.77,13.02,0,0,0,6.13,0,2.3,0,0
120,0,0,0,0,5.88,0,0,29.4,0,0,27.44,0,5.88,0,1.96,0,0,0,9.8,1.96,0,1.96,341,1.96,0,3.92,0,13.72,0,0,0,9.8,0,5.88,0,0
