stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,8.86,0,0,0,2.42,0,0
 48-58,0,0,0,0,12.62,0,1.15,0,0,0,1.15,0,0,17.79,0,0,0,5.16,0.57,0
 60-70,0,0,0,0,22.58,0,0.98,0,0,0,3.93,0,0,34.35,0,0,0,4.91,0,0
 72-82,0,0,0.98,0,20.61,0,0,0,0,0,1.96,0,0,48.1,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,20.18,0,1.06,1.06,0,1.06,2.12,0,0,27.61,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,15.3,0,0,0,0,0,1.09,0,1.09,16.39,1.09,1.09,0,1.09,0,0
108-118,0,0,0,0.77,13.79,0.77,0,0,0.77,0,0.77,0.77,0,21.45,0,0,0.77,0,0,0.77
120,0,0,0,0,21.56,0,0,0,0,0,0,0,0,13.72,0,0,0,1.96,0,0
