stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,2,0,0,5,0,188,103,5,0,0,0,0
 24-34,0,0,19.7,0,0,3.28,0.82,0.82,0,0,0,1.64,0,0,0,0,0,4.1,0.82,0,9.85,11.49,0,0,0,0,0.82,0,0,74.7,21.34,4.93,0,20.52,0,0
 36-46,0,0,19.34,0,0,3.22,2.42,2.42,0,0.81,0,2.42,0,0,0,0,0,2.42,0,1.61,4.83,9.67,0.81,0,0,0.81,0,0,0,30.62,4.03,3.22,0,22.56,0,0
 48-58,0,0,18.94,0.57,0,8.61,4.02,1.72,0,0.57,0,0.57,0,0,0,0,0,14.92,0,2.87,8.03,13.2,0,0,0,0,0,0,0,14.92,0,1.72,0.57,20.66,0,0.57
 60-70,0,0,11.78,0,0,8.83,13.74,0.98,0,1.96,0.98,0,0,0,0.98,0,0,11.78,0,5.89,7.85,30.43,0,0,0,0,0,0,0,18.65,0,1.96,12.76,11.78,14.72,0
 72-82,0,0,6.87,1.96,0,15.71,18.65,0,0,5.89,0,0,0,0,0,1.96,0.98,25.52,0,19.63,8.83,28.47,0,0,0.98,2.94,0.98,0,0,8.83,0,0.98,25.52,25.52,53.99,0
 84-94,0,0,9.56,1.06,0,11.68,26.55,3.19,0,0,0,0,0,0,0,0,0,13.81,0,23.36,8.5,11.68,0,0,0,0,1.06,0,0,12.74,0,1.06,16.99,18.05,69.03,0
 96-106,0,0,4.37,0,1.09,10.93,26.23,1.09,0,0,1.09,2.19,1.09,1.09,1.09,0,1.09,15.3,0,26.23,4.37,17.49,0,0,0,6.56,2.19,0,1.09,16.39,0,2.19,22.95,30.6,86.33,0
108-118,0,0,3.06,1.53,0,8.43,18.38,0.77,0.77,3.06,0,0,0,0,0,0,0,16.85,0,10.72,1.53,18.38,0,0.77,0,6.89,0.77,0,0,12.26,0,0.77,16.85,19.92,51.32,0
120,0,0,5.88,0,0,1.96,25.48,1.96,0,0,0,0,1.96,0,0,1.96,0,11.76,0,9.8,7.84,11.76,0,0,0,11.76,0,0,0,11.76,0,0,21.56,17.64,70.55,0
