stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,10.51,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,155.09,7.89,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,16,4,5,0,0,0,9,3,0,0,0,0,0,0,0,14,0,0,12,188,3,1,1,4,0,1,21,1,0,14,75,0,0,1,0,0
 24-34,0,0,0,2.46,4.93,0,30.37,0,0,0,6.57,0,0.82,0,0,0,0,0.82,0.82,24.63,0,0,8.21,254.47,0,1.64,0,0,0,4.1,0,0,1.64,1.64,58.28,0,0,2.46,0,0
 36-46,0,0,0,0.81,3.22,0,54.79,0,0,0,11.28,0,0,0,0,0,0,0,0,16.11,0,0,11.28,213.5,0,0.81,0.81,0,0,4.83,0,0,0,0,50.76,0,0,3.22,0,0
 48-58,0,0.57,0.57,0,2.87,0,67.71,0,0.57,1.15,14.35,0,0,0,0,0,0.57,0.57,0,35,0,0,3.44,153.78,0.57,0.57,1.15,0,0,0.57,0,1.15,0,0,25.82,0,0,2.87,0,0
 60-70,0,0,0,0,2.94,0,69.69,0,0,0,16.69,0.98,0,0.98,0,0,0,0,0,18.65,0,0,2.94,134.47,0.98,1.96,0,0,0,1.96,0,0,0,0,14.72,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,0,58.9,0,0,1.96,17.67,0,0,0.98,0,0.98,0,1.96,0,29.45,0.98,0,2.94,109.95,0.98,1.96,1.96,0,0,0,0,0,0,0,10.8,0.98,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,5.31,0,35.05,1.06,1.06,0,12.74,0,0,0,1.06,1.06,0,0,0,21.24,0,1.06,0,58.41,2.12,2.12,2.12,0,0,6.37,0,0,0,0,6.37,0,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,6.56,0,27.32,0,1.09,0,15.3,1.09,0,0,4.37,0,0,2.19,1.09,21.86,0,2.19,1.09,62.29,1.09,2.19,2.19,0,2.19,1.09,0,0,0,0,6.56,1.09,1.09,1.09,0,0
108-118,0,0,0,0,8.43,0.77,22.98,0,0,0,11.49,0.77,0,1.53,0.77,0,0.77,0,0.77,22.21,0,0,1.53,82.72,0.77,2.3,0.77,0,0,3.06,0,0,0,0,0.77,0.77,0.77,1.53,0,0
120,0,0,0,0,11.76,0,31.36,0,1.96,3.92,9.8,0,0,0,5.88,0,1.96,0,0,13.72,0,0,1.96,48.99,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
