stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9,1,1,0,0,6,3,0,4,2,0,0,0,0,0
 24-34,0,0,0,0,79.62,0.82,0,3.28,0,10.67,0,1.64,0.82,0.82,0,4.93,0,0,0,0,1.64,1.64,0,32.83,0,0.82,0,0,102.61,2.46,0,1.64,6.57,0,0,0.82,0,1.64
 36-46,0,0,0,0,57.2,0,0,4.03,0,13.7,0,4.03,0,0,0,4.03,0,0,0.81,0,0.81,1.61,0,52.37,0,0,0.81,0,102.32,2.42,0,0,9.67,0,0,0.81,0,6.45
 48-58,0,0,0,0,56.81,0,0,6.31,0,19.51,0.57,8.03,2.3,0,2.3,0.57,0,0,0,0.57,4.59,2.87,0.57,49.35,0,2.87,0,0,37.87,2.3,0,0,5.74,0,0,1.15,0,13.2
 60-70,0,0,0,0,55.95,0,0,11.78,0.98,23.56,3.93,21.59,3.93,0,0,1.96,0,0,0.98,1.96,1.96,0.98,0,41.22,0,2.94,0.98,0,17.67,0.98,1.96,0,4.91,0,0,0,0,5.89
 72-82,0,0,2.94,0,61.84,0.98,0,39.27,0.98,19.63,1.96,43.19,12.76,0,0,0.98,0.98,0.98,0,0.98,30.43,1.96,1.96,62.83,0,4.91,1.96,0,6.87,2.94,0,0,7.85,0,0,1.96,0,8.83
 84-94,0,0,2.12,1.06,98.77,1.06,0,16.99,0,36.11,0,29.74,11.68,0,0,2.12,0,0,1.06,2.12,8.5,3.19,1.06,26.55,0,4.25,0,0,35.05,4.25,0,0,3.19,0,1.06,2.12,1.06,6.37
 96-106,0,0,6.56,0,72.13,5.46,2.19,43.71,0,25.14,0,46.99,21.86,0,4.37,7.65,2.19,0,4.37,2.19,36.06,1.09,3.28,56.83,0,7.65,4.37,0,37.16,4.37,0,0,5.46,0,0,3.28,0,7.65
108-118,0,0,6.13,0,70.47,0,3.83,63.57,2.3,29.87,3.06,47.49,43.66,0.77,0.77,6.89,0.77,0.77,9.19,4.6,37.53,1.53,0.77,112.6,0.77,4.6,3.06,0,32.17,3.83,0.77,0,4.6,0.77,0.77,1.53,0.77,11.49
120,0,0,1.96,0,72.51,1.96,0,56.83,1.96,27.44,7.84,70.55,54.87,0,3.92,7.84,0,0,9.8,3.92,37.24,3.92,7.84,101.91,1.96,7.84,3.92,0,66.63,5.88,5.88,0,7.84,1.96,0,0,0,1.96
