stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,1.15,0,13.77,0,0,0,0,0,0.57,0,0,2.3,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,53.98,0,0.98,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,0,0
 72-82,1.96,0,7.85,0,180.63,0,0,0,0.98,0.98,12.76,0,0,21.6,0.98,0,0,0.98,1.96,0.98,0,0
 84-94,1.06,0,8.5,0,149.75,0,1.06,0,0,0,7.43,0,0,11.68,0,0,0,0,0,0,0,1.06
 96-106,6.56,0,15.3,1.09,271.03,1.09,0,1.09,1.09,0,19.67,1.09,0,20.76,0,1.09,0,2.19,0,0,2.19,0
108-118,0,0.77,3.83,0,225.96,0,0,0,0.77,0,8.43,0,0.77,13.79,0,0.77,0.77,0.77,0,0,0,1.53
120,0,0,7.84,0,221.46,0,1.96,0,0,0,19.6,0,0,7.84,0,1.96,0,0,0,0,0,0
