stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,105.42,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,6.13,294.22,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,28.92,0,0,0,13.14,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0.82,0,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0.57,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,4.91,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,2.12,0,1.06,0,0,0,0,13.81,0,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,12.02,0,0
108-118,0,0,0,0,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0,18.38,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,3.92,0,23.52,0,0
