stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,1,2,2,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0.82,55.82,0.82,26.27,0,0,1.64,0,0,0,36.94,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,9.67,0,0.81,0,0,0,0,0,0,1.61,0,0,0,120.04,0,49.15,0,0,0.81,0.81,0,0,73.32,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,28.69,0,1.15,0,0,0,0,0,0,1.72,0,0,0,208.86,0,42.46,0.57,0,0,0,0,0,65.99,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,3.93,0,131.52,0,6.87,0,0,0,0,0,0,2.94,0,0,0.98,435.8,0,47.11,0,0,0,0,0,0,112.88,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,240.51,1.96,11.78,0,0,0,0.98,0,0,21.6,0,0,0.98,415.24,0,90.31,1.96,0,1.96,0,0,0,88.35,1.96,0,1.96,0,0
 84-94,0,0,1.06,0,7.43,1.06,145.5,0,10.62,1.06,1.06,0,1.06,0,0,11.68,0,1.06,1.06,217.72,0,91.34,3.19,0,5.31,0,0,0,44.61,8.5,2.12,0,0,0
 96-106,0,0,0,0,5.46,1.09,181.41,0,12.02,0,0,2.19,1.09,1.09,0,13.11,0,0,1.09,133.33,0,133.33,0,0,3.28,0,0,0,15.3,6.56,0,0,0,1.09
108-118,0,0,0,0,4.6,0,108,3.06,6.89,0,0,1.53,0,0,0.77,6.89,0.77,0,1.53,193.79,0.77,81.19,0,0,1.53,0,0,0,11.49,4.6,0.77,0,0.77,0
120,0,0,0,0,1.96,0,76.43,1.96,3.92,0,0,0,0,1.96,0,7.84,0,0,0,143.06,0,45.08,1.96,0,0,0,0,0,11.76,9.8,0,1.96,0,0
