stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,7.39,0,0.82,0,0,0,0,2.46,0,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0.81,12.89,0,4.03,0,0,0.81,0,5.64,0,0,0,0
 48-58,0,0,0,0.57,0,6.89,0.57,0.57,0.57,1.15,0,0,0,0,0,5.16,0.57,0,1.15,16.64,0,0.57,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,111.89,0,0,0,0.98,0,0,0,0,0,7.85,0,0.98,1.96,31.41,0,0,0,0,0,0.98,5.89,0,0,0,0
 72-82,0,0,0,1.96,0,284.68,0,0.98,0,5.89,0,0,0,0,0.98,23.56,0,0,0,47.12,0,0,0,0,0,0,4.91,0,0,0,0.98
 84-94,0,0,0,3.19,0,179.48,0,0,0,7.43,1.06,0,1.06,1.06,0,14.87,1.06,0,1.06,28.68,0,0,0,0,1.06,0,1.06,0,1.06,0,1.06
 96-106,0,0,1.09,1.09,1.09,169.39,0,0,0,6.56,0,0,1.09,1.09,0,19.67,0,0,0,34.97,0,0,1.09,0,5.46,0,1.09,0,1.09,1.09,1.09
108-118,0,0,0,1.53,0,110.3,0,0,0.77,1.53,0.77,0,0,0,0,12.26,0,0,0,24.51,0,1.53,0.77,0,3.06,0,2.3,0.77,0.77,0,0
120,0,0,0,1.96,0,78.39,0,0,0,0,0,1.96,0,1.96,0,13.72,0,0,0,48.99,0,1.96,1.96,0,3.92,0,0,0,0,0,0
