stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,122.73,3.15,0,0,22.03,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,11,2,0,0,36,0,0,0,0,0,0,7,0,0,18,1,2,10,1,1,2,60,1,153,0,0,0
 24-34,0,0,0,0.82,6.57,0,0.82,0,36.94,0,0,0,0,0,0,5.75,0,0.82,17.24,0,9.03,0,0,0.82,0,30.37,3.28,69.77,0,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,30.62,0.81,0,0,0,0.81,0,5.64,0,1.61,20.14,0.81,8.86,0,0,0,0,10.47,0,40.28,0,0,0
 48-58,0,0,0,0.57,2.3,0,3.44,0,32.71,0,0,0,0.57,0.57,0,2.3,0,0,20.08,0,9.75,4.02,0,1.15,0,4.02,0,51.07,0,0.57,0
 60-70,0,0,0,0,1.96,0,3.93,0,30.43,0.98,0.98,0,0,0.98,0.98,3.93,0,0,14.72,0,5.89,1.96,0,0,0,1.96,0,18.65,0,0,0
 72-82,0,0,0,0,1.96,0,8.83,0.98,31.41,2.94,0,0,0,2.94,0,10.8,0.98,0,8.83,0,22.58,3.93,0,0,0,2.94,0,13.74,0.98,0,0
 84-94,0,0,0,1.06,2.12,0,10.62,0,20.18,1.06,0,0,0,2.12,0,5.31,0,0,4.25,2.12,13.81,9.56,0,0,0,6.37,0,14.87,0,0,0
 96-106,0,0,1.09,0,0,0,13.11,1.09,13.11,1.09,0,0,0,4.37,0,13.11,0,0,7.65,0,22.95,7.65,0,0,0,7.65,0,9.84,0,1.09,1.09
108-118,0,0,0.77,0.77,3.83,0,8.43,0,9.96,0.77,0,0,0,2.3,0.77,12.26,0,0,2.3,0,19.15,4.6,0,0,0,4.6,0,9.19,0,0,0
120,0,0,0,1.96,1.96,0,1.96,0,5.88,0,0,1.96,0,0,0,5.88,0,0,7.84,0,11.76,5.88,0,1.96,0,7.84,0,7.84,0,0,0
