stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,5,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,1.64,21.34,0,0,0,0,2.46,0,0,0.82,5.75,0.82,0
 36-46,0,0,0,0.81,0,2.42,0,0,0.81,0,0,0,0,0,0,0,5.64,0,0,0,12.89,0.81,0,0,0,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,0,0,3.44,0,0,1.72,0,0,0,0,0,0,0.57,2.3,0,0,0,5.74,0,0,0,0,1.15,0,0.57,0,1.72,0,1.15
 60-70,0,0,0,0,0,2.94,0.98,0,3.93,0,0,0,0,0,0,0,4.91,0,0.98,0,10.8,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,0,0.98,3.93,0,0,0,0,0,0,0,2.94,0,0.98,0.98,3.93,0,0.98,0,0,0.98,0,0,0,2.94,1.96,0
 84-94,0,1.06,0,1.06,1.06,3.19,0,0,2.12,0,0,0,0,0,0,0,4.25,1.06,0,0,3.19,0,1.06,1.06,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,4.37,0,0,2.19,0,0,0,0,0,0,0,2.19,0,0,0,7.65,0,0,0,0,7.65,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,4.6,0,0.77,3.06,0.77,0,0,0.77,1.53,0.77,0,1.53,1.53,0,0,4.6,0,0,0,0,1.53,0,0,0,0,0.77,0.77
120,0,0,0,5.88,0,3.92,0,0,1.96,0,0,1.96,0,0,1.96,1.96,5.88,0,0,5.88,11.76,0,1.96,0,0,1.96,0,0,0,0,1.96,0
