stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,17.24,0,13.13,0.82,0,0,0,5.75,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.15,0,26.59,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,2.3,0,0,0.57,0,0.57,0,0,1.15,0,0.57,62.54,0,28.69,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,5.89,0.98,0,0.98,0,0.98,0,0,1.96,0,0,156.06,0,30.43,1.96,0,0.98,0,16.69,0,0,0,0
 72-82,0,1.96,0.98,17.67,0.98,0,6.87,0,0.98,0.98,0,14.72,0.98,0,272.9,0,64.79,0.98,0,0.98,0,9.82,0,0.98,0,0
 84-94,0,1.06,1.06,19.12,0,0,3.19,0,0,0,0,7.43,0,0,151.87,0,55.23,1.06,0,0,0,9.56,0,0,0,1.06
 96-106,0,2.19,0,38.25,2.19,0,3.28,0,0,1.09,0,9.84,1.09,0,196.71,2.19,89.61,1.09,0,0,0,5.46,0,0,0,0
108-118,0,3.83,0.77,19.92,0,0,3.83,0.77,0,0,0,6.13,0,0,232.85,0,45.96,0,0,0,0.77,3.06,1.53,0,0,0.77
120,0,1.96,0,3.92,0,3.92,5.88,0,1.96,0,1.96,5.88,0,0,207.74,0,31.36,3.92,0,1.96,0,3.92,0,0,0,0
