stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,0,7.89,0,0,0,0,7.89,0,0,0,0,70.98,0,0,44.69,5.26,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,97.56,3.15,0,31.47,0,0,6.29,0,0,0
 14-21,0,0,1,1,5,0,0,0,0,3,0,0,0,20,16,3,3,0,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0.82,2.46,3.28,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,1.61,0,0,0,0,6.45,0,0.81,0,0.81,0,0,0,2.42,0.81,0,0,0,0
 48-58,0,0,0,0,0,3.44,0.57,0,0,0,0,1.72,0,0,0,2.3,1.72,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,1.96,0,4.91,0.98,0,0.98,1.96,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,5.89,0,2.94,0,1.96,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,4.25,0,8.5,0,0,0,2.12,1.06,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,6.56,0,9.84,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,27.57,0,8.43,0,0.77,0,0.77,0,0,0,1.53,0,0.77,0,1.53,0
120,0,0,0,0,0,0,0,1.96,0,21.56,0,11.76,0,1.96,0,1.96,0,0,0,3.92,0,0,0,1.96,0
