stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,7.89,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,53.5,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,57,15,0,14,6,0,6,5,0,0,0,0,2,1,2,43,0,0,15,141,5,1,9,5,0,0,16,18,19,185,65,0,0,6,0,0
 24-34,0.82,0,2.46,2.46,24.63,0.82,0,23.8,19.7,4.1,8.21,1.64,4.93,0,0,0.82,1.64,0,1.64,89.47,0,1.64,45.15,267.6,9.03,3.28,11.49,0,0.82,1.64,0.82,3.28,1.64,36.12,95.22,0,0,14.78,0,0
 36-46,0,0,0.81,0,9.67,0,0,24.98,12.09,9.67,20.14,0,7.25,0.81,0,1.61,2.42,0.81,0,138.58,0,1.61,42.7,218.34,16.92,1.61,4.03,0,0,0,0,0,0,0,93.46,0,0.81,11.28,0,0.81
 48-58,0,0,0,0,7.46,0.57,0,32.71,5.74,7.46,45.33,0,2.3,0,0,0.57,2.87,0.57,0,183.04,0,6.89,32.13,203.7,4.59,1.15,7.46,0,1.15,0.57,0,1.15,0,0,88.94,0,0.57,5.74,0,1.15
 60-70,0,0,0,0,7.85,0,0,37.3,2.94,12.76,67.73,0.98,0,0,0.98,0,2.94,0,0,273.84,0,9.82,27.48,416.17,4.91,8.83,6.87,0,3.93,0,0,0,0,0,122.69,0,2.94,9.82,2.94,0
 72-82,0,0,1.96,0,24.54,3.93,0,76.57,3.93,18.65,96.2,0.98,4.91,0.98,0.98,4.91,0.98,0,0.98,475.12,0.98,11.78,46.14,591.94,0.98,4.91,20.61,0,5.89,3.93,0,1.96,0,0,79.51,1.96,9.82,17.67,6.87,0.98
 84-94,0,0,0,0,50.98,1.06,0,74.34,7.43,9.56,54.16,3.19,4.25,2.12,0,1.06,8.5,1.06,3.19,291,1.06,12.74,24.43,338.79,10.62,4.25,8.5,0,3.19,1.06,0,3.19,0,0,47.79,2.12,9.56,16.99,3.19,1.06
 96-106,0,0,4.37,0,52.46,3.28,1.09,81.96,4.37,14.21,73.22,4.37,14.21,7.65,2.19,2.19,3.28,1.09,2.19,290.7,0,15.3,18.58,347.53,10.93,13.11,18.58,0,4.37,4.37,0,1.09,0,0,28.41,1.09,9.84,19.67,7.65,1.09
108-118,0,0,1.53,0,54.38,0.77,0,58.98,9.19,12.26,65.11,3.83,3.83,3.83,3.06,3.83,6.13,1.53,1.53,221.36,0.77,12.26,19.15,446.56,9.96,3.83,16.09,0,5.36,0.77,0,1.53,0,0,22.98,0,3.83,19.15,6.89,3.83
120,0,0,0,0,33.32,3.92,0,68.59,9.8,7.84,29.4,0,5.88,7.84,0,1.96,1.96,0,0,162.66,3.92,11.76,3.92,384.12,13.72,0,9.8,0,7.84,1.96,0,0,0,0,11.76,0,1.96,15.68,5.88,1.96
