stage,epidermis,eye,fin_epithelia,gut,ionocyte,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,taste,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,1,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,14.78,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,13.7,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,6.31,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,24.54,0,0,0
 72-82,3.93,0.98,0,0.98,0,0.98,0.98,0,0.98,0,10.8,0,0,0
 84-94,2.12,0,0,6.37,0,1.06,0,1.06,1.06,0,30.8,0,1.06,0
 96-106,5.46,0,0,5.46,0,1.09,0,2.19,0,0,26.23,0,3.28,0
108-118,3.83,0,0,6.13,2.3,0.77,0,0,0.77,0,19.92,0,3.06,0
120,5.88,0,1.96,0,0,0,0,1.96,0,0,13.72,0,3.92,0
