stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,373.91,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.47,0,0,0,78.86,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,147.91,0,0,0,47.2,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,47,1,0,0,1,0,1,0,8,12,0,1,0
 24-34,0,0,0,1.64,0,9.85,0,0,2.46,0.82,0,0,0,0.82,0,0.82,0,9.03,0,0,5.75,64.03,0,0.82,1.64,0,1.64,0,0,0.82,18.88,0,2.46,0
 36-46,0,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0.81,50.76,0,0,1.61,0,1.61,0,0,0,8.86,0,0,0
 48-58,0.57,0,0,3.44,0,6.89,0,0,2.87,0,0,0.57,0,0,0,0,0.57,7.46,0,0,0,33.85,0,0,0,0,0.57,0,0,0,4.59,0,0.57,0
 60-70,0,0,0,2.94,0,17.67,0,0,7.85,0,0,0,0.98,0.98,0.98,0,0,8.83,0,0,0.98,29.45,0,0.98,0,0,0.98,0,0,0,7.85,0,0,0.98
 72-82,0,0,0,0,0.98,9.82,0.98,0.98,3.93,0,0,0,0,0,0,0,0,10.8,0,0,0.98,29.45,0.98,0,0,0,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,0,0,0,9.56,0,2.12,6.37,0,0,0,0,0,0,0,0,5.31,0,1.06,1.06,14.87,1.06,0,0,0,2.12,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,1.09,0,3.28,0,0,2.19,0,0,2.19,2.19,1.09,1.09,0,0,6.56,0,0,0,10.93,0,0,1.09,0,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0,3.06,0,4.6,0,0.77,2.3,0.77,0,0,0.77,0.77,0,0,0,4.6,0,0,1.53,13.02,0,0,0.77,0,1.53,0,0,0,0.77,0.77,0,0
120,1.96,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,5.88,1.96,0,5.88,11.76,0,1.96,0,0,0,0,0,0,1.96,0,0,0
