stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,13.14,2.63,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,123.55,10.51,0,0,42.06,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,119.58,3.15,0,0,40.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,4,0,3,3,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,1.64,0,0,0.82,27.91,0,0,0,0,1.64,0,0,0,0.82,5.75,0,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0,24.98,0,2.42,0.81,0,1.61,0,0,0,0,8.86,0,0
 48-58,0,0,0,0.57,0,4.02,0,1.15,1.15,0,0,0,0,0.57,3.44,0,0,0.57,5.16,0,0.57,0,0,1.15,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,3.93,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,1.96,0,0,1.96,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,2.12,1.06,1.06,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
