stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,208.41,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,18.4,0,0,0,0,21.03,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,32,0,0,0,0,0,0,0,0,36,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,22.98,0.82,0,0,0.82,0,0,0,0,22.98,0,0,2.46,2.46,0.82,9.03,0,0,0,0,2.46,0,1.64,0.82,1.64,0,0
 36-46,0,0,0.81,14.5,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0.81,1.61,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,13.77,2.3,0,0,0,1.15,0.57,0,0,0,0,0,1.15,0,0,5.16,0.57,0,0,0,32.13,0,0,0,0.57,0,1.72
 60-70,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,3.93,1.96,0,0,0,33.37,0,0,0,0,0,1.96
 72-82,0,0,0,0.98,2.94,0,0,0,0.98,1.96,0,0,0.98,3.93,0,4.91,0.98,0,1.96,0,0,0.98,0,38.28,0,0,0,0,0,4.91
 84-94,0,0,1.06,1.06,9.56,0,0,1.06,0,0,0,2.12,1.06,7.43,0,1.06,0,0,0,1.06,0,0,0,60.54,0,0,0,0,1.06,8.5
 96-106,0,0,3.28,1.09,14.21,0,5.46,0,2.19,1.09,0,0,4.37,5.46,0,8.74,4.37,0,13.11,0,1.09,0,0,413.1,0,0,0,0,1.09,7.65
108-118,0,0.77,6.89,0.77,9.19,0,6.13,0,0.77,1.53,0,1.53,9.19,14.55,0,3.83,3.83,0,5.36,0.77,0,0,0,348.51,0,0,0,0.77,0,7.66
120,0,0,7.84,1.96,3.92,1.96,11.76,0,0,0,0,1.96,3.92,1.96,0,0,7.84,0,7.84,1.96,0,0,0,391.96,0,0,0,0,0,5.88
