stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,0,12.31,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0.82,9.03,0,0,8.21,108.35,1.64,100.97,1.64,0,0,8.21,4.1,0,1.64,22.98,0,0,0.82,0,0.82
 36-46,0,0,0,0,8.06,0,0,26.59,0,0,0.81,4.03,0,0,2.42,1.61,0,0,0,0,3.22,15.31,0,0,3.22,140.99,0.81,131.32,0.81,0,0,8.06,2.42,0.81,0,34.64,0,0,4.03,0,0.81
 48-58,0,0,0,0,5.16,1.72,0,110.17,1.72,1.15,1.15,26.97,0.57,0.57,0,1.15,0,0,0.57,0.57,1.72,40.74,0,1.15,7.46,308.13,0.57,103.28,0.57,0,0,6.89,0.57,0,0,59.1,0,0.57,4.59,0,5.16
 60-70,0,0,0,0,11.78,0,0,126.62,0.98,2.94,5.89,23.56,0.98,0.98,0,1.96,0.98,0,0,0,0.98,57.91,0.98,2.94,8.83,301.33,2.94,98.15,0.98,0,1.96,16.69,0,0.98,0,42.21,0,0,1.96,0,4.91
 72-82,0,0,0,0,31.41,25.52,0.98,292.54,3.93,0.98,6.87,67.73,7.85,0,0.98,10.8,2.94,3.93,7.85,6.87,1.96,167.86,2.94,3.93,14.72,527.15,2.94,172.77,6.87,0.98,0.98,31.41,0,0,0,44.17,5.89,3.93,22.58,7.85,7.85
 84-94,0,0,1.06,1.06,33.99,16.99,0,121.07,0,2.12,2.12,25.49,6.37,2.12,4.25,2.12,3.19,4.25,2.12,1.06,1.06,80.71,3.19,2.12,6.37,186.92,1.06,214.53,2.12,0,1.06,52.04,5.31,1.06,0,11.68,3.19,0,7.43,6.37,6.37
 96-106,0,0,2.19,1.09,78.68,65.57,9.84,287.42,8.74,10.93,13.11,109.28,21.86,0,10.93,32.79,15.3,5.46,15.3,28.41,3.28,177.04,9.84,6.56,30.6,501.62,4.37,304.9,14.21,0,5.46,122.4,1.09,5.46,0,25.14,41.53,1.09,27.32,5.46,12.02
108-118,0,0,1.53,0,58.21,16.85,10.72,137.87,0.77,12.26,9.96,53.62,9.96,0,0,12.26,3.83,3.06,4.6,11.49,3.83,114.89,2.3,4.6,16.85,304.09,3.06,215.24,3.06,0,6.13,46.72,2.3,0.77,0,6.13,22.98,5.36,13.02,3.83,4.6
120,1.96,0,1.96,0,58.79,25.48,3.92,101.91,7.84,5.88,3.92,52.91,11.76,0,1.96,9.8,5.88,7.84,1.96,7.84,0,78.39,1.96,3.92,19.6,237.13,0,205.78,1.96,0,1.96,39.2,5.88,0,0,7.84,3.92,0,3.92,3.92,3.92
