stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,73.6,7.89,0,0,18.4,0,0,0,2.63,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,31.47,3.15,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,4,0,0,0,1,0,0,0,0,0,29,0,1,1,0,10,0,7,3,0,3,15,0,0
 24-34,0,0,1.64,0.82,1.64,1.64,0,0.82,0.82,0,0,0.82,0,0,0.82,0,0.82,21.34,0.82,9.85,4.93,0,3.28,0,0,4.1,0.82,0,11.49,0,0
 36-46,0,0,0.81,0,0,4.03,0,0,0.81,0,0,0,0,0,1.61,0,0.81,36.26,0,14.5,1.61,0,0,0,0,2.42,0,0,12.09,0,0
 48-58,0,0,0,0,1.15,5.74,0.57,2.87,0,0,0,0,1.72,0,1.15,0.57,0.57,32.13,0,10.33,0.57,0,0,0,0,0.57,0,0,2.3,0,0.57
 60-70,0,0,0.98,0,0,12.76,0,0,1.96,0,0,0,2.94,0,2.94,0,0,34.35,0,14.72,0.98,0,1.96,0,0,0,0,0,8.83,0,0.98
 72-82,0,0,1.96,0,3.93,9.82,0,0.98,2.94,0,0,0.98,0,0,2.94,0,0,25.52,0,24.54,5.89,0,1.96,0,0,0,0,0,3.93,0,0
 84-94,0,0,2.12,0,1.06,7.43,1.06,2.12,4.25,0,0,0,2.12,1.06,2.12,0,0,14.87,0,14.87,2.12,0,4.25,0,0,2.12,0,0,0,3.19,0
 96-106,0,0,3.28,0,0,3.28,1.09,4.37,1.09,0,1.09,1.09,2.19,0,0,0,1.09,13.11,0,32.79,2.19,0,6.56,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0.77,1.53,3.06,0,0,3.06,0,0,0.77,1.53,0,0.77,0,0,7.66,0.77,16.09,3.83,0,1.53,0,0,3.06,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,1.96,5.88,0,1.96,17.64,0,15.68,1.96,0,5.88,0,0,0,0,0,0,0,1.96
