stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,20,6,0,9,0,0,1,0,0,1,0,0,0,6,0,4,32,0,1,0,5,0,6,21,1,0,16,15,0,0,2,0
 24-34,0,0.82,3.28,0,0,2.46,0,0.82,0,0.82,0,0.82,0,0.82,0,7.39,0,1.64,23.8,0.82,1.64,0.82,0,0,14.78,0,0,0,4.1,7.39,0,0,2.46,0
 36-46,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,0.81,0,0,8.86,0,1.61,19.34,0.81,0.81,1.61,0,0,5.64,0,0.81,0,0,0.81,0,0,1.61,0
 48-58,0,0,1.15,0,0,3.44,0,0,1.15,0,0,0,0,0,0,1.72,0,0,12.62,0.57,0,0,0,0,2.3,0,0,0,0,1.72,0,0,2.3,0
 60-70,0,0,0.98,0,0,4.91,0,2.94,0,0,0,0,0,0,0,1.96,0.98,0.98,13.74,0,0.98,0,0,0,10.8,0,0,0.98,0,2.94,0.98,0,0.98,0
 72-82,0,0,1.96,0,0,7.85,0,4.91,0.98,0,2.94,0,0,0,0,2.94,0.98,0,19.63,0,0,0,0,0,5.89,0,1.96,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,2.12,0,3.19,0,1.06,0,0,0,1.06,1.06,1.06,0,0,6.37,0,0,0,0,0,14.87,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,4.37,13.11,0,3.28,8.74,0,4.37,1.09,1.09,0,2.19,4.37,0,0,13.11,0,0,1.09,0,1.09,9.84,0,4.37,0,0,0,1.09,1.09,0,0
108-118,0,0,3.06,0.77,3.83,2.3,0.77,4.6,3.06,0.77,1.53,0,0,1.53,0.77,5.36,0,0,16.85,0,2.3,3.06,0,0,10.72,0,3.06,0.77,0,0,0,0,2.3,0.77
120,0,0,1.96,0,0,1.96,0,3.92,9.8,0,0,0,0,0,1.96,0,0,0,15.68,0,0,1.96,0,0,5.88,0,1.96,0,0,0,0,0,1.96,1.96
