stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,24.52,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,49.95,2.63,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,0,0,0,3,0,0,0,1,0,2,1,5,0,3,37,2,0,0,0,0,0,4,2,4,19,0,1,0,0
 24-34,0,0,0,3.28,0,0,3.28,0,0,0.82,0,0,0.82,0,0.82,1.64,0,4.93,0,4.93,61.56,0,0,0,0,0,0,0,0,1.64,21.34,0,0.82,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,2.42,0,0,0,0,0,0,0,8.86,0,4.03,87.82,1.61,1.61,0,0,0,0,0,0,0,34.64,0.81,1.61,0,0
 48-58,0,0,0,0,0,0,18.94,0.57,0,9.75,0,0,0,0.57,0.57,0.57,0,5.16,0.57,1.15,85.5,0,0,0,0,0.57,0,0,0,0,23.53,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,22.58,0,0.98,14.72,0,0,0.98,0,0,0.98,0,11.78,0.98,0.98,128.58,0,0.98,0,0,0,0,0,0,0,18.65,0,0,0,0
 72-82,0,0,0,0,0,0,27.49,0,0,20.61,0,0,0,0.98,0,0.98,0,7.85,0.98,1.96,110.93,0,0.98,1.96,0,0,0,0,0,0,14.72,0,0,1.96,1.96
 84-94,0,0,0,0,1.06,0,24.43,0,0,24.43,0,0,1.06,2.12,2.12,2.12,0,8.5,0,3.19,58.41,0,1.06,2.12,0,0,0,0,2.12,0,7.43,2.12,2.12,0,0
 96-106,0,0,0,3.28,0,0,14.21,0,0,16.39,1.09,0,0,0,1.09,0,0,8.74,0,1.09,40.44,1.09,2.19,1.09,0,1.09,0,0,0,0,5.46,1.09,0,0,0
108-118,0,0,0,1.53,0,0.77,11.49,0,0.77,16.09,0,0,0,0.77,0.77,0,0,9.19,0.77,1.53,62.81,0,1.53,0.77,0,0,0,0,0,0,3.83,0,1.53,0,0
120,0,0,0,0,0,0,15.68,0,0,9.8,1.96,0,0,0,0,1.96,0,9.8,0,0,60.75,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
