stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,162.98,5.26,0,0,84.12,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,57,1,0,0,0,0,0,0,11,0,3,24,16,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,10.67,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,4.93,0,7.39,76.34,0.82,0,0,0,0,3.28,0,0,0.82,0.82,5.75,23.8,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,11.28,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,8.86,0,4.03,46.73,0.81,0.81,0,0,0,0.81,0,0,2.42,0,0,12.09,0,0,2.42,0,0
 48-58,0,0,0,0,2.87,0,21.23,1.15,0.57,0.57,4.02,0,0,0.57,0,0,0.57,0,0,0,10.9,0.57,1.72,24.1,0,0.57,0,0,0,1.72,0,0,1.15,0,0,4.02,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,25.52,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,5.89,0.98,1.96,37.3,0,0,0,0,0,1.96,0,0,0,0,0,4.91,0,0.98,1.96,0,0
 72-82,0,0,0,0,3.93,0,12.76,0.98,0,0,9.82,0.98,0,0,0,0,0.98,0,0,0,19.63,1.96,1.96,32.39,0,0,0.98,0,0,1.96,0,0,0.98,0,0,4.91,0,0,2.94,0,0
 84-94,0,0,0,0,3.19,0,16.99,0,1.06,0,1.06,0,0,1.06,0,1.06,0,1.06,0,0,7.43,1.06,2.12,26.55,0,0,0,0,0,4.25,0,0,0,0,0,2.12,0,0,1.06,0,1.06
 96-106,0,0,0,0,1.09,0,12.02,0,0,0,5.46,0,0,0,2.19,0,1.09,1.09,0,1.09,15.3,0,1.09,20.76,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,3.28,1.09,0
108-118,0,0,0.77,0,5.36,0.77,9.96,0,0,0.77,6.89,1.53,0,0,0,0,0.77,0.77,0,0,9.19,0.77,2.3,20.68,1.53,0.77,0.77,0,0.77,3.06,0,0,0,0.77,0,0,0,0.77,2.3,0.77,1.53
120,0,0,0,0,11.76,0,13.72,3.92,3.92,0,7.84,0,0,0,0,0,0,0,0,0,21.56,0,3.92,23.52,0,3.92,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0
