stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,3,5,0,1,0,0,0,0,1,1,0,16,0,0,0,0,6,0,0,2,71,2,0,0,1,0,0,1,18,0,0,7,0
 24-34,0.82,3.28,0,0,0.82,0,0,0,0.82,0,1.64,0,27.91,0,0,0,0,1.64,5.75,0,0,49.25,0.82,0,0,0,0,0.82,0,0.82,0,0,56.64,0
 36-46,0,8.06,0,0,1.61,0,0.81,0,1.61,0,7.25,0,2.42,0,0,0,0,1.61,0,0,0,79.76,0,1.61,0,0.81,0,0,0,0.81,0,0,75.73,0
 48-58,0,6.89,0,0,3.44,0,0.57,0,1.15,0,13.77,0,0,0.57,0,0,0,6.31,0.57,0,0,17.79,0,0,0,0,0,0,0,1.72,0,0,56.81,0
 60-70,0,8.83,0.98,0,6.87,0,0.98,0,2.94,0.98,18.65,0,2.94,0,0,0,0,13.74,0,0,0,30.43,0,0,0,1.96,0,0,0,3.93,0.98,0,48.09,1.96
 72-82,0,2.94,0.98,0,12.76,0,0,0.98,7.85,0,22.58,1.96,8.83,0,0,0,0,38.28,0,3.93,0.98,48.1,0,0,0.98,0,0.98,0,0,1.96,0,2.94,115.84,6.87
 84-94,0,8.5,1.06,0,10.62,0,0,0,6.37,0,14.87,0,22.3,0,1.06,0,2.12,41.42,0,5.31,2.12,30.8,0,0,0,2.12,0,0,0,1.06,1.06,5.31,107.27,8.5
 96-106,0,9.84,2.19,0,21.86,1.09,0,0,13.11,1.09,31.69,0,20.76,0,0,0,1.09,45.9,0,8.74,3.28,38.25,0,0,2.19,1.09,0,0,0,1.09,0,3.28,132.23,29.51
108-118,0,6.13,0,0,13.79,0,0.77,0,20.68,0.77,16.85,0.77,9.96,0,0,2.3,0,30.64,0,9.96,0.77,67.4,0,0.77,0.77,2.3,0,0.77,0,0,0.77,1.53,113.36,14.55
120,0,1.96,1.96,1.96,7.84,0,0,0,13.72,0,17.64,0,7.84,0,0,0,0,23.52,0,11.76,1.96,62.71,1.96,0,0,1.96,0,0,0,0,0,0,135.23,17.64
